key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,excl_reason,labels,decision_c1,decision_c2,agreement
rayyan-1093294810,Qualitative data analysis,2010,1,1,Practical researcher and evaluation: A start-to finish …,"",,,"","K Smith, J Davies","","","","","… make the qualitative data analysis process a little clearer. The first section of this chapter will 
discuss how to manage qualitative data (keeping track of interviews, keeping data safe and …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",Statistics as Topic,,,1 not sharing/ not using,,Excluded,,
rayyan-1093294811,Secondary analysis of qualitative data,2011,1,1,Qualitative research,"",,,"",C Seale,"","","","","… I will review debates about secondary analysis of archived qualitative data. It will become … 
of data archives and about the possibility of doing secondary analysis of qualitative data are …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-LABELS: screening full text | RAYYAN-EXCLUSION-REASONS: wrong publication type | USER-NOTES: {""""Jürgen""""=>[""""human subjects? barriers / facilitators?"""", """"Workshop""""]}","","",,,wrong publication type |,screening full text,Excluded,,
rayyan-1093294812,Secondary Analysis of Qualitative Data.,1997,1,1,PD Turner - 1997 - ERIC,"",,,"",PD Turner,"","","","","… of data to answer the original research question with better statistical techniques or to answer 
new questions with old data … definition of secondary data analysis from a qualitative point of …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: _before 2000","","",,,_before 2000,,Excluded,,
rayyan-1093294814,Reality lost? Re-use of qualitative data in classroom video studies,2013,1,1,Forum Qualitative Sozialforschung,"",,,"","E Andersson, GO Sørvik","","","","","… challenges associated with archived qualitative data, and re-use of video data in particular. 
… archived video data, we present the two illustrative cases. Finally, we discuss the two video …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""}","","",,,,,Included,,
rayyan-1093294815,"Getting the most from archived qualitative data: Epistemological, practical and professional obstacles",2004,1,1,International journal of social research methodology,"",,,"",N Fielding,"","","","","… This is one pattern among several which account for limited progress in secondary analysis 
of qualitative data. Applied and market researchers are much less likely to archive their …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""} | RAYYAN-LABELS: research","",Professional Practice,,,,research,Included,,
rayyan-1093294816,Evaluating preexisting qualitative research data for secondary analysis,2018,1,1,… qualitative sozialforschung/forum: Qualitative …,"",,,"",V Sherif,"","","","","… sufficiency of qualitative data for their re-use. Therefore, in the following sections, prior to 
suggesting criteria for the evaluation of qualitative data for the purpose of secondary analysis, …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""} | RAYYAN-LABELS: screening full text | USER-NOTES: {""""Jürgen""""=>[""""Volltext: https://doi.org/10.17169/fqs-19.2.2821""""]}","","",,,,screening full text,Included,,
rayyan-1093294817,Analysing qualitative data,2005,1,1,Principles of social research,"",,,"","J Green, N Thorogood","","","","","… A number of software packages now exist that are designed to help organize and manage qualitative data. These are briefly discussed below. If you are using one of these, you may …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","","",,,1 not sharing/ not using,,Excluded,,
rayyan-1093294818,Back to basics: who re-uses qualitative data and why?,2005,1,1,Sociology,"",,,"","O Parry, N Mauthner","","","","","… of qualitative data and secondary analysis, and we see little point in revisiting them here. … 
analysis and we believe that the recovery of contextual features in secondary data analysis …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","","",,,4_not_prerequisites_barriers_facilitators_,,Excluded,,
rayyan-1093294819,"Collective qualitative secondary analysis and data-sharing: Strategies, insights and challenges",2020,1,1,"A Tarrant, K Hughes - 2020 - eprints.lincoln.ac.uk","",,,"","A Tarrant, K Hughes","","","","","… , alongside advances in methods of qualitative secondary analysis (or QSA), is … in data re-use and approaches to qualitative analysis. One such opportunity is collective secondary data …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-LABELS: screening full text | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","",Information Dissemination;Statistics as Topic,,,4_not_prerequisites_barriers_facilitators_,screening full text,Excluded,,
rayyan-1093294820,The shared fate of two innovations in qualitative methodology: The relationship of qualitative software and secondary analysis of archived qualitative data,2000,1,1,Forum Qualitative Sozialforschung/Forum …,"",,,"",N Fielding,"","","","","… qualitative data is necessary to justify the place of qualitative … qualitative software is used 
to analyse downloaded data. But … secondary analysis of qualitative data, the use of qualitative …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-LABELS: screening full text | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","",Software,,,4_not_prerequisites_barriers_facilitators_,screening full text,Excluded,,
rayyan-1093294822,Secondary data analysis,2003,1,1,"The AZ of Social Research, Sage, London","",,,"",J Heaton,"","","","","… sets, discussion of and the use of qualitative data for secondary analysis has begun. Heaton 
… of qualitative data with secondary analysis. The protocols for recording qualitative data, …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",Statistics as Topic,,,1 not sharing/ not using,,Excluded,,
rayyan-1093294823,Data hiding for video-in-video,1997,1,1,Proceedings of International …,"",,,"","MD Swanson, B Zhu, AH Tewfik","","","","","… high bit-rate supplementary data, such as secondary video, into a dig- … videoin-video and 
speech-in-video. We also demonstrate the robustness of the data hiding procedure to video …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: _before 2000","","",,,_before 2000,,Excluded,,
rayyan-1093294824,"The data are out there, or are they? Implications for archiving and revisiting qualitative data",1998,1,1,Sociology,"",,,"","NS Mauthner, O Parry, K Backett-Milburn","","","","","… particular (either primary or secondary) researchers with particular … notes that the data with 
which we deal are open, intermediate … However, in his discussion of archiving qualitative data, …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: _before 2000","","",,,_before 2000,,Excluded,,
rayyan-1093294825,Acquiring qualitative data for secondary analysis,2005,1,1,Forum Qualitative Sozialforschung,"",,,"","L Corti, G Backhouse","","","","","… data archiving and re-use, data … secondary analysis. [24] THOMPSON, reflecting on his 
own personal experience of re-using qualitative data, argues that: """"the most valuable qualitative …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""} | RAYYAN-LABELS: screening full text | USER-NOTES: {""""Jürgen""""=>[""""Volltext unter: https://doi.org/10.17169/fqs-6.2.459""""]}","","",,,,screening full text,Included,,
rayyan-1093294826,“Making a square fit into a circle”: Researchers' experiences reusing qualitative data,2014,1,1,Proceedings of the American Society for Information …,"",,,"",A Yoon,"","","","","… In order to identify individuals who have qualitative data reuse experience, this study 
used data citation tracking from major databases (ie, Sage journals, ERIC, etc.). Tracking …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""}","","",,,,,Included,,
rayyan-1093294827,Microcomputing and qualitative data analysis,1994,1,1,"A Weaver, P Atkinson - 1994 - lib.ugent.be","",,,"","A Weaver, P Atkinson","","","","","… As long as you attribute the data sets to the source, publish your adapted database with 
ODbL license, and keep the dataset open (don't use technical measures such as DRM to restrict …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: _before 2000","",Statistics as Topic;Microcomputers,,,_before 2000,,Excluded,,
rayyan-1093294828,Conducting thematic analysis with qualitative data,2021,1,1,The Qualitative Report,"",,,"",CR Lochmiller,"","","","","… often poorly defined approaches in the qualitative research community. The method is … data 
obtained from the Qualitative Data Repository to demonstrate how secondary qualitative data …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","","",,,4_not_prerequisites_barriers_facilitators_,,Excluded,,
rayyan-1093294829,On the data reuse and memory bandwidth analysis for full-search block-matching VLSI architecture,2002,1,1,… on circuits and systems for video …,"",,,"","JC Tuan, TS Chang, CW Jen","","","","","… This work provides a data reuse analysis of FSBM to remove … of data reuse, the present 
analysis extracts four data-reuse … Weaker data reuse level has a higher value and demands a …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 3 _not_human_observation_response_data","",Memory,,,3 _not_human_observation_response_data,,Excluded,,
rayyan-1093294831,Seeking the analytic imagination: Reflections on the process of interpreting qualitative data,2013,1,1,Qualitative Research,"",,,"",A James,"","","","","… First, it suggests that the sharp edges of analysis, which appear to offer rigour to the process 
of understanding qualitative data, might also be open to acts of imagination – free spirits …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",Imagination,,,1 not sharing/ not using,,Excluded,,
rayyan-1093294833,ToscanaJ: An open source tool for qualitative data analysis,2002,1,1,Advances in Formal Concept …,"",,,"","P Becker, J Hereth, G Stumme","","","","","In this paper, we report about the current state of ToscanaJ, the latest member of the family 
of TOSCANA programs, that have been used for conceptual data analysis and knowledge …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",Statistics as Topic,,,1 not sharing/ not using,,Excluded,,
rayyan-1093294836,Level C+ data reuse scheme for motion estimation with corresponding coding orders,2006,1,1,… and Systems for Video …,"",,,"","CY Chen, CT Huang, YH Chen","","","","","… the searching range data reuse of ME, which not only can fully reuse the overlapped 
searching region in the horizontal direction but also can partially reuse the overlapped searching …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 2 _not_qualitative/_video_data_","","",,,2 _not_qualitative/_video_data_,,Excluded,,
rayyan-1093294839,How data curation enables epistemically responsible reuse of qualitative data,2021,1,1,The Qualitative Report,"",,,"","S Karcher, D Kirilova, C Pagé, N Weber","","","","","… rich qualitative data. Using three examples of successful reuse of qualitative data, we illustrate 
… potential of these three trends to further improve the availability of reusable data projects. …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""} | RAYYAN-LABELS: screening full text | USER-NOTES: {""""Jürgen""""=>[""""Volltextr unter: https://doi.org/10.46743/2160-3715/2021.5012""""]}","","",,,,screening full text,Included,,
rayyan-1093294840,"Re-using qualitative data: A little evidence, on-going issues and modest reflections",2014,1,1,Studia Socjologiczne,"",,,"",L Bishop,"","","","","… the UK Data Archive, I will consider what we know about how archived qualitative data are 
… Can we re-use qualitative data via secondary analysis? Sociological Research Online, 15(1)…","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""} | RAYYAN-LABELS: research","","",,,,research,Included,,
rayyan-1093294841,Qualitative methods with Nvivo software: A practical guide for analyzing qualitative data,2022,1,1,Psych,"",,,"","DB Allsop, JM Chelladurai, ER Kimball, LD Marks","","","","","… ’ [4] process for qualitative data analysis with NVivo software. Specifically, we provide 
guidance on preparing interview data for analysis, finding core themes through open coding (ie, …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",Software,,,1 not sharing/ not using,,Excluded,,
rayyan-1093294842,Secondary analysis of qualitative data,2021,1,1,SAGE Research Methods Foundations,"",,,"",J Heaton,"","","","","This title provide a reference resource for all levels, from undergraduates learning the concepts 
of research, to postgraduate students honing their skills and scholars and practitioners …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-LABELS: screening full text | RAYYAN-EXCLUSION-REASONS: wrong publication type | USER-NOTES: {""""Jürgen""""=>[""""Workshop""""]}","","",,,wrong publication type |,screening full text,Excluded,,
rayyan-1093294843,Intelligent video data security: a survey and open challenges,2021,1,1,Ieee Access,"",,,"","JY Yu, Y Kim, YG Kim","","","","","… for research on video data security has not … video data security based on the collection and 
analysis of related works. Moreover, this study presents an analysis of research on video data …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",Intelligence,,,1 not sharing/ not using,,Excluded,,
rayyan-1093294848,A systems approach to qualitative data management and analysis,1999,1,1,Field Methods,"",,,"","KM MacQueen, B Milstein","","","","","… In this article, we outline a systematic approach to qualitative data manage- … types of data 
generated during qualitative research. The model can be a guide for the coordination of data …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: _before 2000","","",,,_before 2000,,Excluded,,
rayyan-1093294852,"Are we ready to share qualitative research data? Knowledge and preparedness among qualitative researchers, IRB members, and data repository curators",2020,1,1,IASSIST …,"",,,"","J Mozersky, H Walsh, M Parsons, T McIntosh","","","","","… Our results suggest that we are not ready to share qualitative data due to a lack of experience 
with, and guidance on, QDS among all stakeholder groups. Researchers are the least …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""}","","Ethics Committees, Research",,,,,Included,,
rayyan-1093294856,Study design in qualitative research--2: Sampling and data collection strategies,2000,1,1,Education for health,"",,,"","KJ Devers, RM Frankel","","","","","… qualitative research. We oﬂer practical advice on how to collect and manage qualitative data, including factors to consider when deciding how structured the data collection process …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","","",,,1 not sharing/ not using,,Excluded,,
rayyan-1093294857,Laddered questions and qualitative data research interviews,2002,1,1,Journal of advanced nursing,"",,,"",B Price,"","","","","… qualitative nursing research, open or unstructured interviews figure amongst the most common data … Collecting research data by interview is, however, by no means simple (see Table 1)…","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","","",,,1 not sharing/ not using,,Excluded,,
rayyan-1093294858,Preference and meaning of arboretum landscapes: Combining quantitative and qualitative data,1991,1,1,Journal of Environmental Psychology,"",,,"",HW Schroeder,"","","","","… To answer these questions a more open-ended, qualitative approach to studying landscape 
… this question using quantitative preference data. The qualitative data in this study offer …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: _before 2000","","",,,_before 2000,,Excluded,,
rayyan-1093294859,Progress and problems of preserving and providing access to qualitative data for social research—The international picture of an emerging culture,2000,1,1,… Qualitative Sozialforschung/Forum: Qualitative …,"",,,"",L Corti,"","","","","… to share some of the reasons for which I believe qualitative … science for secondary analysis 
of qualitative data there is not … successful re-use of qualitative data, as there is for survey data …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""} | RAYYAN-LABELS: research","","",,,,research,Included,,
rayyan-1093294860,Qualitative data archiving: some reflections on its prospects and problems,1997,1,1,Sociology,"",,,"",M Hammersley,"","","","","… the scope for secondary analysis. At the same time, the archiving of qualitative data and its 
use … In summary, then, archiving should improve the prospects for secondary use of data, and …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-LABELS: research | RAYYAN-EXCLUSION-REASONS: _before 2000","","",,,_before 2000,research,Excluded,,
rayyan-1093294862,Qualitative data re-use and secondary analysis: researching in and about a crisis,2021,1,1,Qualitative and Digital …,"",,,"","A Tarrant, K Hughes","","","","","… , we consider how the re- use of qualitative data and its … the archiving and reuse of existing 
research data in the context of … for qualitative data re- use via the associated methodology of …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-LABELS: screening full text | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","","",,,4_not_prerequisites_barriers_facilitators_,screening full text,Excluded,,
rayyan-1093294863,"Whose data are they anyway? Practical, legal and ethical issues in archiving qualitative research data",2004,1,1,sociology,"",,,"","O Parry, NS Mauthner","","","","","… that the archiving of qualitative data raises a distinct … qualitative research data, and in doing 
so it reflects on the viability of using qualitative data for theoretical and substantive secondary …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""}","","",,,,,Included,,
rayyan-1093294864,Secondary data analysis: New perspective for adolescent research,2000,1,1,Nursing outlook,"",,,"","L Rew, D Koniak-Griffin, MA Lewis, M Miles","","","","","… secondary analysis, it is possible to examine the data more closely for latent content that reflects 
more of the meaning of the responses. Secondary analysis of qualitative data … qualitative …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",Adolescent;Statistics as Topic,,,1 not sharing/ not using,,Excluded,,
rayyan-1093294865,Secondary analysis of qualitative interview data: Objections and experiences. Results of a German feasibility study,2011,1,1,Forum Qualitative Sozialforschung/Forum …,"",,,"",I Medjedovi,"","","","","… data sharing and archiving in qualitative research, this contribution takes a closer look at the 
… of secondary analysis of qualitative data. I begin with an outline of what German qualitative …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""} | RAYYAN-LABELS: research","",Feasibility Studies,,,,research,Included,,
rayyan-1093294870,A practical guide to collaborative qualitative data analysis,2018,1,1,Journal of Teaching …,"",,,"","KAR Richards, MA Hemphill","","","","","… qualitative analysis while attending to challenges associated with working in team environments. 
The method is rooted in qualitative data … the data analysis process we use open coding …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",Statistics as Topic,,,1 not sharing/ not using,,Excluded,,
rayyan-1093294871,A reflexive exploration of two qualitative data coding techniques,2015,1,1,Journal of Methods and Measurement in the …,"",,,"",E Blair,"","","","","… This article discusses how these two methods of data coding—open coding and template 
coding—were piloted. Here I reflect upon and evaluate the two methods and discuss how …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",H-Reflex,,,1 not sharing/ not using,,Excluded,,
rayyan-1093294873,"Data collection, primary versus secondary",2005,1,1,"JJ Hox, HR Boeije - 2005 - dspace.library.uu.nl","",,,"","JJ Hox, HR Boeije","","","","","… Increasingly, qualitative researchers share their data for secondary analysis. Social 
scientists who intend to study a particular theoretical problem or a specific policy issue have the …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","","",,,4_not_prerequisites_barriers_facilitators_,,Excluded,,
rayyan-1093294874,Using archived qualitative data for teaching: Practical and ethical considerations,2012,1,1,International Journal of Social Research Methodology,"",,,"",L Bishop,"","","","","… , reuse will be defined using data for … by data archives to enable ethical reuse of data. In 
the following section, these topics will be revisited with a focus on issues specific to reusing data …","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included""""}","","",,,,,Included,,
