authors,year,title,journal,abstract
"I Medjedovic, A Witzel",2010,Wiederverwendung qualitativer Daten,"I Medjedovic, A Witzel - 2010 - Springer","… Forschung mit qualitativen Daten aufgezeigt. … best practice gleichermaßen in qualitativ wie 
quantitativ geprägter … damit feststellen, welchen Nutzen die Daten der einzelnen Studien für …"
G Vallenthin,2018,Nutzen der Daten einer Online-Ernährungsanalyse für eine SWOT-Analyse zur Gesundheit von Mitarbeitern,Digitales Betriebliches Gesundheitsmanagement …,"… Während und nach Maßnahmen den Nutzen beziffern zu können, qualitativ oder … Nutzen, 
da sie 100 % individuelle Auswertungen liefert. Zudem kann jeder Teilnehmer seine Daten …"
"S Netscher, O Watteler, A Perry",2020,Wir Machen Daten FAIR: Die Konzeption von Datenservices im GESIS-Datenarchiv für Sozialwissenschaften,Bausteine …,"… Zum anderen entsteht ein Trade-off zwischen Forschungszeit und der Zeit zur Generierung qualitativ hochwertiger und nachnutzbarer Daten, der zumeist zu Ungunsten der …"
"M Lichti, M Lichti",2019,Überprüfung qualitativ generierter Hypothesen mittels quantitativer Daten,Funktionales Denken fördern: Experimentieren mit …,"… Analyse der Daten in Kapitel 7 ergaben, anhand der quantitativen Daten aus Vor-und … 
eher dazu ermutigt worden zu sein, Graphen zu nutzen. Außerdem gab es Indizien dafür, dass …"
K Geutebrück,2019,Das Potenzial der Digitalisierung–Ein (Video-) Bild sagt mehr als 1000 Daten,… : Strategien und Lösungen entlang der Supply Chain …,"… Sie nutzen wissenschaftliche Erkenntnisse zu technischen Durchbrüchen, die im Laufe 
der Zeit tiefgreifende Veränderungen im Leben der Menschen bewirken. Beispiel Eisenbahn: …"
"K Schmidgall, F Lohmeier",2019,Vom Prototyp zum neuen Onlinekatalog-gute Daten als Schlüssel zu den Quellen der Literaturgeschichte,"K Schmidgall, F Lohmeier - 2019 - opus4.kobv.de","… , maßgeschneiderten Katalogs auf der Basis moderner Open-Source-Technologie und 
beweist, dass sich qualitativ hochwertige Erschließung auch im Zeitalter der Digitalität lohnt. …"
S Schach,2022,Mit Real-World-Daten die Versorgung verbessern,Forum,"… dort aber qualitativ hohe Anforderungen, um diese Daten nutzen zu … Daten professionell 
dokumentiert werden. Es gibt jetzt weitere Anstrengungen, bei kleinen Mutationsgruppen Daten …"
M Lenz,2013,Semantische Analyse unstrukturierter Daten,Wirtschaftsinformatik & Management,"• Big Data ist allgegenwärtig‒immer mehr unstrukturierte Daten werden erzeugt.• Die Analyse 
unstrukturierter Daten erfordert spezielle Verfahren der Semantik und Sprachverarbeitung.…"
"M Benson, A Junger, C Fuchs, L Quinzio",2003,Patienten-Daten-Management-Systeme in der Anästhesie und Intensivmedizin,Anästhesiol …,"… Gründen sinnvoll, qualitativ hochwertige Daten aus Informations-ManagementSystemen 
und anderen medizinischen Datenbanken für wissenschaftliche Untersuchungen zu nutzen. …"
M Lang,2023,Datenkompetenz: Daten erfolgreich nutzen,M Lang - 2023 - books.google.com,"… Eine zentrale Voraussetzung für aussagekräftige Analysen und nachvollziehbare 
Entscheidungen sind qualitativ gesicherte und verlässliche Daten. In vielen Unternehmen herrscht …"
T Stäcker,2019,Daten aus den Ländern-was können Regional-und Landesbibliotheken bei der digitalen Konversion des kulturellen Erbes und der Bereitstellung von …,T Stäcker - 2019 - opus4.kobv.de,"… The ultimate goal of FAIR is to optimise the reuse of data. To achieve this, metadata and 
data should be well-described so that they can be replicated and/or combined in different …"
"N Baur, P Graeff",2021,Datenqualität und Selektivitäten digitaler Daten: Alte und neue digitale und analoge Datensorten im Vergleich,Gesellschaft unter Spannung …,"… , die Daten werden aber bereits während der Datenerhebung digital erfasst (Fuchs 1994). 
Dies gilt aber auch für die Bereitstellung der Daten … staatlich administrativen Daten mittlerweile …"
"C Schliffka, D Polus",2020,Das Europäische Statistische System als Krisenmanager–verlässliche Daten für Europa,WISTA–Wirtschaft und Statistik,"… und neuer digitaler Daten von entscheidender Bedeutung. Ziel ist es, … nutzen, um die 
Aktualität zu erhöhen und dauerhaft den Einsatz neuer digitaler Daten für die Erstellung qualitativ …"
S Blanaru,2008,Entwicklung einer webbasierten Metadatenbank für raumbezogene Daten in Anlehnung an die INSPIRE-Richtlinie,S Blanaru - 2008 - api.pageplace.de,"… diese Daten gepflegt, erfasst und bereitgestellt. Aber auch qualitativ hochwertige Geodaten nutzen … , sondern auch die beschreibenden Informationen der Daten von großer Wichtigkeit. …"
"H Langhof, H Kahrass, D Strech",,„FAIRES BANKING “VON BIOMATERIALIEN UND DATEN,bihealth.org,"… qualitativ hochwertige und möglichst zeitnah verfügbare Mengen an Biomaterialien und/oder 
klinischen Daten … lokal gesammelte) Proben und Daten nutzen dürfen? Welche finanziellen …"
"…, A Kaiser, A Heil, A Lammert, E der FAIR-Prinzipien",2021,Die Veröffentlichung von Standardisierten Daten aus der Stadtklimaforschung,"…, A Kaiser, A Heil, A Lammert, E der FAIR-Prinzipien - Tage 2021 - d-nb.info","… In diesem Standard folgen wir den FAIR-Datenprinzipien6 [21], welche fordern, dass Daten 
… qualitativ hochwertige Datensätze deutlicher aus der Menge anderer Daten hervorzuheben. …"
"J Bott, R Arnold, C Hildebrandt",2018,Die Nutzung von Daten durch OTT-Dienste zur Abschöpfung von Aufmerksamkeit und Zahlungsbereitschaft: Implikationen für Daten-und Verbraucherschutz,"J Bott, R Arnold, C Hildebrandt - 2018 - econstor.eu","… Videostreamingdienste nutzen dagegen nur etwas mehr als die Hälfte der Befragten (rund 
52 %). Youtube ist dabei der beliebteste Dienst. Insgesamt finden sich somit zwei OTT…"
"L Schmies, U Sonntag",2021,"Quantitative Fraktographie unter Verwendung klassischer Verfahren, Topographie-Daten und Deep-Learning","L Schmies, U Sonntag - 2021 - opus4.kobv.de","… Durch Vergleiche mit bereits vorliegenden Bildern werden qualitativ Bruchmechanismen … 
Durch Vergleiche mit bereits vorliegenden Bildern werden qualitativ Bruchmechanismen …"
"M Glemser, U Klein",,HyEride Modellierung und Analyse Yon unsicheren Daten,ifpwww.ifp.uni-stuttgart.de,"… Ein potentieller Anwender kann prinzipiell alle diese Daten nutzen, … Inhalten bereitgestellten Daten birgt aber auch ein be… Die neu erzielten Informationen sind qualitativ zu beurteilen. …"
G Wewer,2019,Offene Daten (Open Data),Handbuch zur Verwaltungsreform,"… Daten, die digital verfügbar sind, gelten dann als „offen“, … veröffentlicht und in Formaten bereitstellt, dass andere sie … einen leichteren Zugriff auf die Daten anderer Stellen. Offene …"
BWP THEMENSCHWERPUNKT,,Exzellente Forschung braucht exzellente Daten,d-nb.info,"… nutzen zu können. Derzeit lassen die vom Bundesinnenministerium verantwor teten Regelungen 
zum Umgang mit den Daten … Daten, aber auch mit qualitativ schwächeren Daten kann …"
"I Steinhardt, C Fischer, M Heimstädt, SD Hirsbrunner",2020,Das Öffnen und Teilen von Daten qualitativer Forschung,"I Steinhardt, C Fischer, M Heimstädt, SD Hirsbrunner… - 2020 - econstor.eu","… , wie auch ein qualitativ verstandenes Symbol darstellen. Ob Forschungsdaten im Rahmen 
eines spezifischen Forschungsdesigns als qualitativ oder quantitativ betrachtet werden, er…"
"J Meierhofer, J Lév",2019,Daten-basierter Service-Nutzen entlang der Customer Journey,Service Today,"… , werden die Daten aus der Interaktion … Daten aus der outside-in Perspektive werden im 
direkten Austausch mit den Kunden in Form von Fokusgruppen und/ oder Umfragen qualitativ …"
M Lukec,2008,Visualisierung raumbezogener Daten im Geomarketing—Die Karte als Entscheidungsunterstützung,KN-Journal of Cartography and Geographic …,"… Unternehmen den Nutzen des Raumbezugs aufzuzeigen ist … Eine Verknüpfung von 
unternehmenseigenen Daten und … zum Erstellen qualitativ hochwertiger kartographischer …"
R Büst,2013,Daten sind das neue Öl: Daten als Wettbewerbsvorteile in der Cloud verarbeiten,Wirtschaftsinformatik & Management,"… , die gesammelt wird, sondern um deren Qualität und wofür die Daten letztendlich … den 
Massen an Daten, die durch menschliche und maschinelle Interaktionen entstehen, die qualitativ …"
S Uhrig,2007,Automatische Generierung von dreidimensionalen Dreiecksnetzen aus Punktwolken-Daten,S Uhrig - 2007 - publica.fraunhofer.de,… qualitativ hochwertige Rekonstruktion des ursprünglichen Objekts aus den gemessenen Daten … Die Bereitstellung eines robusten und effizienten Projektionsverfahrens bildet damit die …
"B Sánchez Solís, P Budroni",2015,"e-Infrastructures Austria–Ein nationales Projekt für die Aufbereitung, dauerhafte Bereitstellung und Nachnutzung von Daten an wissenschaftlichen Einrichtungen: e …",Information-Wissenschaft & Praxis,"… Für die Wissenschaftler ergibt sich durch die Möglichkeit der DatenZitierung eine erhöhte 
Sichtbarkeit. Der innovative Umgang mit Daten führt zu neuen Erkenntnissen, qualitativ …"
J Grass,2018,Von den Daten zur Story. Vermittlungsleistungen von Datenjournalismus,Politischer Journalismus im Fokus der Journalistik,"… Open Data ist die Voraussetzung für einen funktionierenden und qualitativ hochwertigen 
Datenjournalismus. Deutschland hinkt im Umfang der öffentlich verfügbaren Daten anderen …"
ASS Al-Oweidi,2001,"Untersuchungen mittels Patienten-Daten-Management-System zum Aufwachverhalten, postoperativem Analgetikabedarf sowie Antiemetikaverbrauch nach …",ASS Al-Oweidi - 2001 - jlupub.ub.uni-giessen.de,"… Gründen sinnvoll, qualitativ hochwertige Daten aus Informations-Management-Systemen … 
wissenschaftliche Untersuchungen zu nutzen. Durch zusammengeführte ""Online-…"
F Hartart,2018,Algorithmische Erkennung von Gefahrenlagen durch Interpretation urbaner Daten,F Hartart - 2018 - reposit.haw-hamburg.de,"… Qualitativ hochwertige Daten sind ein treibender Faktor bei der Weiterentwicklung … Daten 
in dieser Arbeit nicht statt. Es werden offene Daten (Open Data) nach der Definition der Open …"
"F Breuer, A Deppermann, U Kuckartz, G Mey",2014,All is data–Qualitative Forschung und ihre Daten,… und Diskussionen–10 …,"… einerseits und der Fixation auf Audio/Video und dann (ggf.) … von Daten. Es ließe sich fast 
Soap-ähnlich formulieren: „Gute … zu nutzen, aber wir müssen unsere Daten verfügbar machen…"
"E Fleck, H Oswald",1995,Multimedia in der Medizin—Integration und Kommunikationen heterogener und verteilter medizinischer Daten und Funktionen zu einer elektronischen Patientenakte,Neue Märkte durch Multimedia/New Markets with …,"… als auch die Bereitstellung von notwendiger Infastruktur … auch organisatorische Arbeitsablãufe, qualitativ und quantitativ … sich ziehen, der zu erwartende Nutzen wird den sich absehbar …"
T Lurk,2023,Please mind the gap (s)! Kunst als Daten im Kontext einer wissenschaftlichen Fachbibliothek,T Lurk - 2023 - irf.fhnw.ch,"… collections to established data management cycles. Cataloging effectiveness is … (management 
level). Here, the systems and procedures that turn artistic and creative works into FAIR …"
C Schliffka,2021,Verlässliche Daten auch in Krisenzeiten–die deutsche EU-Ratspräsidentschaft im Bereich Statistik während der Corona-Pandemie,WISTA–Wirtschaft und Statistik,"… digitaler Daten von entscheidender Bedeutung. Die Chancen der Digitalisierung zu nutzen, 
um … den Einsatz neuer digitaler Daten für die Erstellung qualitativ hochwertiger Statistiken zu …"
"H Pfeiffenberger, J Klump",2006,Offener Zugang zu Daten-Quantensprung in der Kooperation,Wissenschaftsmanagement …,"… als auch qualitativ verbessert, da viele Ergebnisse nur anhand der verwendeten daten … So 
lange hier nicht eine umorientierung erfolgt und die Bereitstellung nachnutzbarer daten nicht …"
J Von Lucke,2017,"Technische Innovation–Potenziale von Open Government, offenen Daten und intelligenten Städten",Urbane Innovation,"… Als offene vernetzte Daten (Linked Open Data) werden demnach sämtliche Datenbestände 
verstanden, die im Interesse der Allgemeinheit der Gesellschaft ohne jedwede …"
"J Reichertz, CJ Englert, J Reichertz",2021,Vorüberlegungen zur Besonderheit der genutzten Daten,Einführung in die …,"… nutzen sowie sich zudem mit der Kunst der Filmregie zu beschäftigen und deren Kenntnisse 
zu nutzen. … Ohne Zweifel sind ein Bild und ein Video anderes als die jeweilige sprachliche …"
D Langnickel,1995,"Qualitätssicherung. Kriterien, Daten, Management",… Bilanz zukunftsweisender Entwicklungen am Ende des …,"… Heute stellen amerikanische Firmen weder einaugige Spiegelreflexkameras noch CD-Spieler 
noch Video recorder her - sie haben aufgegeben. Xerox-Ingenieure stellten bei einem …"
M Munke,2023,Citizen Science an wissenschaftlichen Bibliotheken. Daten und Analysen einer Nutzendenbefragung der SLUB,M Munke - 2023 - opus4.kobv.de,"… Dafür wurde das Konzept „Open Citizen Science“ formuliert, verstanden als … der besonders 
intensiven Abgabe offener Kommentare) qualitativ ausgewertet. Im Vortrag werden der …"
T Spitta,1997,Über die Verteilung von Daten in einer verteilten Organisation,Proceedings MOBIS'97,"… In der Wartung zeigte sich der Nutzen einer qualitativ hochwertigen Entwicklung. Von 
1993 bis Mitte 1996 betrug der gesamte Wartungsaufwand unter 10 % des …"
"S Rädiker, U Kuckartz, S Rädiker",2019,Ein MAXQDA-Projekt vorbereiten und Daten importieren,… Daten mit MAXQDA: Text …,"… 3.4 zu sehen ein Kontextmenü, welches weitere Optionen für das Öffnen bereithält. Dokumente 
lassen sich in einem neuen Tab öffnen, was sehr praktisch ist für das schnelle Hin‑ und …"
"A Meyermann, M Porzelt",2014,Hinweise zur Anonymisierung qualitativer Daten,"A Meyermann, M Porzelt - 2014 - pedocs.de","Anonymisierung:„Anonymisieren ist das Verändern personenbezogener Daten derart, dass 
die Einzelangaben über persönliche oder sachliche Verhältnisse nicht mehr oder nur mit …"
H Von Unger,2018,Archivierung und Nachnutzung qualitativer Daten aus forschungsethischer Perspektive,Paper Series,"… Daten stark eingeschränkt sind, sich mögliche Risiken nur begrenzt antizipieren lassen und 
der potentielle Nutzen in … Anliegen, die empirische Arbeit von qualitativ Forschenden zu …"
"D Bambey, A Meyermann, M Porzelt, M Rittberger",2018,Bereitstellung und Nachnutzung qualitativer Daten in der Bildungsforschung. Das Forschungsdatenzentrum (FDZ) Bildung am DIPF,Paper Series,"… Bei den erhobenen Daten der qualitativen Bildungsforschung handelt es sich im Wesentlichen 
um mediengestützte Dokumentationen aus der pädagogischen Praxis auf Basis video-…"
"F Fuchs-Kittowski, S Simroth, S Himberger, F Fischer",,Integration und Bereitstellung von ortsbezogenen Daten für mobile AR-Anwendungen,d-nb.info,"… Open Source-Software (GeoServer etc.) entwickelt. Diese ermöglicht es, vorhandene Daten … spezieller Output Channel zur Bereitstellung der Daten für die verschiedenen Client-…"
W Series,2020,Das Öffnen und Teilen von Daten qualitativer Forschung,W Series - 2020 - academia.edu,"… , wie auch ein qualitativ verstandenes Symbol darstellen. Ob Forschungsdaten im 
Rahmen eines spezifischen Forschungsdesigns als qualitativ oder quantitativ betrachtet werden, …"
"M Klinkhammer-Schalke, T Kaiser",2020,Manual für Methoden und Nutzung versorgungsnaher Daten zur Wissensgenerierung,Das …,"… unterstrichen werden, dass auch qualitativ hochwertige Forschung auf Versorgungsdaten 
… Bei der Anforderung an Primär- und Sekundärdaten kommt es darauf an, nicht beliebige, …"
"T Schulz, U Kretschmer, D Holweg",2005,Verwendung von 3D-Daten für mobile Anwendungen,"T Schulz, U Kretschmer, D Holweg - 2005 - publica.fraunhofer.de","… The information like sensor data, video pictures or visual specifications are processed and 
mapped on georeferenced data of a system. A 3D manager is used for the preparation of the …"
R Voshage,2021,Daten für externe Evaluierungen–Aufgabe der amtlichen Statistik?,FinanzRundschau,"… und qualitativ hochwertige Daten, sondern vor allem auch einen Zugang zu diesen Daten. 
Zu … auch von der Politik als Nutzende der amtlichen Daten, um gegenüber dem Gesetzgeber …"
"E Hasche, P Ingwer, E Hasche, P Ingwer",2016,Erfassen und Weiterverarbeitung von Daten für den Schnitt und die VFX-Produktion,"… und Praxis für Film, Video und …","Kapitelübersicht In diesem Kapitel wird die Erfassung der für die VFX-Produktion 
notwendigen Zusatzdaten diskutiert, da durch die komplexen Erfordernisse der modernen …"
A Peichl,2017,Bessere Daten für die Wissenschaft!,ifo Schnelldienst,"… qualitativ hochwertige, große Mikrodatensätze. Erst der Zugriff auf große administrative Daten… Es ist jedoch klar, dass die Bereitstellung verknüpfter administrativer Paneldaten für die …"
"A Köngeter, M Jungkunz, EC Winkler",2022,Sekundärnutzung klinischer Daten aus der Patientenversorgung für Forschungszwecke–Eine qualitative Interviewstudie zu Nutzen-und Risikopotenzialen aus …,… Medizin und das …,"… keinen unmittelbaren Eigennutzen für die Patient* innen, welche ihre klinischen Daten bereitstellen. In Deutschland stellt die Sekundärnutzung klinischer Daten für Forschungs-und …"
S Hagenhoff,2017,Daten und softwaretechnische Funktionalität als Ressourcen im System der Wissenschaftskommunikation,Media Economics revisited,"… Der Beitrag ist qualitativ sowie explorativ angelegt: Er bedient sich der hermeneutisch … aus 
dem Bereitstellen von softwarebasierter Infrastruktur und dem Management von Daten, aus de…"
L Franken,2022,Digitale daten und methoden als erweiterung qualitativer forschungsprozesse. herausforderungen und potenziale aus den digital humanities und computational …,Forum Qualitative Sozialforschung/Forum …,"… digitale Daten verarbeitet werden. Im Folgenden gehe ich deshalb einerseits der Frage 
nach, welche konkreten Daten und Verfahren qualitativ Forschende für welche Settings nutzen …"
C Prevezanos,2012,"Nero 11: Brennen, Konvertieren, Daten sichern",C Prevezanos - 2012 - books.google.com,"… Die Workshops in diesem Buch können Sie dennoch nutzen. Gelegentlich stoßen Sie … 
Dies ist der aktuelle Standard für alle Video-DVDs und muss dafür verwendet werden. Ein …"
T Irion,2002,"Einsatz von Digitaltechnologien bei der Erhebung, Aufbereitung und Analyse multicodaler Daten",Forum Qualitative Sozialforschung,"… Video- oder Audiodateien zu zerschneiden. Dieses Zerschneiden von multicodalen Daten 
… Daten zu nutzen. Dies kann die Voraussetzung dafür schaffen, für die Analyse multicodaler …"
"R Hefendehl, J Bach",2021,Die erzwungene Digitalisierung: Daten und Deutungen,ZDRW Zeitschrift für Didaktik der …,"… Aus Dozierendenperspektive ermöglicht die Bereitstellung digitaler Materialien etwa, die … 
genutzt werden, Informationen mit anderen zu teilen bzw. sich gemeinsam mit anderen zu …"
I Medjedovi,2019,Qualitative Daten für die Sekundäranalyse,Handbuch Methoden der empirischen Sozialforschung,"… Audio- und Video… Daten nutzen, sollten sie sich ihrer Verantwortung gegenüber denjenigen, 
die sie zum „Objekt“ der Forschung erklären, bewusst sein und vertraulich mit diesen Daten …"
"J Blechert, M Schwitalla",2015,Ein Video-Set zur experimentellen Untersuchung von Emotionen bei sozialen Interaktionen: Validierung und erste Daten zu neuronalen Effekten,Zeitschrift für Psychiatrie …,"… A video-set for experimental assessment of emotions during social interaction: validation … 
We present a set of video clips, ‘E.Vids’ in which ten actors each make eight short positive, …"
"S Rädiker, U Kuckartz",2019,Analyse qualitativer Daten mit MAXQDA,"S Rädiker, U Kuckartz - 2019 - Springer","… oder Mixed-Methods-Daten auszuwerten und in sogenannten … , in den auf YouTube 
verfügbaren Video-Tutorials und in den … Auch wenn sie vielleicht nur von begrenztem Nutzen sind, …"
"M Fuchs, T Kaehler, TR Knösche, B Maess",,System zur Online-Verarbeitung und-Analyse neuroelektromagnetischer Daten,researchgate.net,"… Dabei stellt sich teilweise heraus, dass die Qualität der Daten zB … auch unmittelbar nach der 
Messung eine qualitativ … und alle weiteren notwendigen Daten bereitstellen. Weiterhin wird …"
L Dorfer,2012,Daten als Wettbewerbsfaktor in Social Network Sites,Social Media and Web Science. Das Web als …,"… Wachsende wettbewerbsstrategische Bedeutung von Daten … Daten als 
unterstützendes Element … Daten als unterstützendes Element …"
"P Budroni, R Ganguly",2015,e-Infrastructures Austria: Eine Referenzarchitektur zur dauerhaften Bereitstellung von Daten aus der Forschung als Aufgabe für wissenschaftliche Bibliotheken,Mitteilungen der Vereinigung …,"… einer Referenzarchitektur zur dauerhaften Bereitstellung von Daten aus der Forschung sollte 
… , welche Rolle das Verlagswesen bei der Bereitstellung von Daten wahrnehmen könnte. …"
"P Weller, J Christmann",,Python-basierte Analyse von GC-IMS-Daten,analyticalscience.wiley.com,"… Dies ist qualitativ oft ein Problem, vor allem wenn … Ohne gemeinsam nutzbare Open Source 
Software werden diese von jeder … Für analytisch-chemische Daten gibt es bereits zahlreiche …"
"V Demary, C Rusche",2018,Daten als Wettbewerbsfaktor,"V Demary, C Rusche - 2018 - econstor.eu","… Daten. Jedoch nimmt mit der Datenmenge auch der zusätzliche Nutzen ab, insbesondere 
wenn sich die neuen Daten … umfangreichen, qualitativ hochwertigen Datensatz aufzubauen. …"
"J zum Felde, C Heise, S Heumann",2015,Offen Daten Ohne Deutschland,Der G7-Gipfel Und Der …,… Daten gemeinsam mit der Verwaltung arbeiten können. Durch diese qualitativ hochwertigeren Daten kann auch die Leistung bestehender Verwaltungsangebote verbessert werden. …
A Smioski,2013,Archivierungsstrategien für qualitative Daten,Forum Qualitative Sozialforschung/Forum …,"… der Daten durch das Archiv ermöglicht und Bestände qualitativ … Daten bei der Erhebung 
neuer Daten zu nutzen, Daten zu verknüpfen und aus bestehenden Daten neue Daten …"
"M Dietrich, G Mey",2018,Grounding Visuals: Annotationen zur Analyse audiovisueller Daten mit der Grounded-Theory-Methodologie,Handbuch Qualitative Videoanalyse,… ) bildungswissenschaftliche Studien nutzen von Forschenden erhobene AV-Daten als … Video untersuchte Inhalte auf anderen Ebenen und anhand anderer (auch nicht-filmischer) Daten …
R für Sozial,2015,Stellungnahme zur Archivierung und Sekundärnutzung von Daten der qualitativen Sozialforschung,Soziologie-Forum der Deutschen …,"… Bereitstellung von qualitätsgesicherten Forschungsdaten – insbesondere aus öffentlicher 
Förderung – für die Wissenschaft. Solche Daten … Zugangs zu qualitativ hochwertigen Daten für …"
"U Rendtel, R Meister, J Goebel, A Gößwald",2020,Ein interdisziplinäres Studienkonzept zur Dynamik von COVID-19 auf der Basis der prospektiv erhobenen Daten der Kohorten des Sozio-oekonomischen Panels …,"U Rendtel, R Meister, J Goebel, A Gößwald… - 2020 - econstor.eu","… If the documents have been made available under an Open Content Licence (especially … 
es gelingen, evidenzbasierte Entscheidungen durch qualitativ hochwertige, längsschnittliche …"
"S Marx, A Sütthoff",2023,… auf Datenmarktplätzen—Orientierungshilfe für die Verantwortlichkeitszuweisung für einen datenschutzkonformen Handel mit personenbezogenen Daten,Computer und Recht,"… , hoch qualitativ und … nutzen, um die Daten zu übermitteln. Dafür stellt er die technische 
Infrastruktur bereit, die es ermöglicht, dass der Datenerwerber die personenbezogenen Daten …"
C Langer,2005,Konstruktion und Überprüfung eines Bewertungskonzeptes zur Evaluierung der Anwenderzufriedenheit von Patienten-Daten-Management-Systemen,C Langer - 2005 - jlupub.ub.uni-giessen.de,"… Als Gründe hiefür wurden eine langsame System-Performance, dh die Fähigkeit, gewünschte Daten ohne Zeitverzögerung bereitstellen zu können, oder die zunehmend größere …"
"S Rädiker, U Kuckartz, S Rädiker",2019,Daten explorieren,… Daten mit MAXQDA: Text …,"… Forschenden sich auf die Daten einzulassen und sie zunächst … auch notwendig, „in die Daten 
einzutauchen“. Die Software nimmt … lernt man nicht nur die Daten kennen, sondern beginnt …"
"R Fiege, R Fiege",2012,Daten schürfen im Social Web,Social Media Balanced Scorecard: Erfolgreiche Social …,"… Um beim Social Media Monitoring qualitativ brauchbare Ergebnisse zu erzielen, ist vor der 
… Inzwischen gibt es mehrere Anbieter27, die diese API nutzen, die Daten aufbereiten und als …"
"RP Schäfer, A Gühnemann",2003,Neue Ansätze im Verkehrsmonitoring durch Floating Car Daten,… Tage (CD-ROM),"… Um die vorhandene Verkehrsinfrastruktur effizienter zu nutzen und eine Entzerrung des Ver… 
ckelt, die speziell in Ballungsräumen eine qualitativ hochwertige und zeitnahe Sensorik der …"
"K Zimmermann, F Pensel, K Zimmermann",2017,Daten: Von Goldgräberstimmung mit wenig Gold: Warum Daten das neue Gold sein sollen,Deep Customer Value …,"… stellen, ob sie wirklich die richtigen und relevanten Daten für Ihre Ziele nutzen. Das wird eine 
… Selbstverständlich gibt es qualitativ hochwertige und extrem nützliche externe Daten. Eben …"
