key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1077012246,Understanding Refugee Families' Potentials for Supporting Children's        Mathematics Learning,2022,5,,TEACHERS COLLEGE RECORD,0161-4681,124,5,49-68,"Karsli-Calamak, E and Tuna, ME and Allexsaht-Snider, M and Karsli-Calamak, Elif and Tuna, Mana Ece and Allexsaht-Snider, Martha",,English,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA","Background/Context: We lack a nuanced understanding of the potentials and needs of multilingual families, particularly those with forced displacement histories, in contributing to children's mathematics learning. As educators seek to increase refugee students' access to powerful mathematics learning, an understanding of how refugee families view and participate in their children's mathematics learning can offer insights for how we might reach the goal of equitable educational access. Purpose/Focus of Study: In the Goc-MAT project, we focused on developing equitable mathematics teaching practices with teachers (K-3) in schools highly populated with refugee children. The research that we present here, drawing on notions of community cultural wealth capital, offers a multifaceted view of how families of young children with refugee status articulated understandings of their roles in children's mathematics learning. Setting: Our fieldwork took place in four different cities highly populated by people with refugee status in Turkey, the country located at the center of the worldwide trend of mass migration. Participants: We examined data from families (N = 54, mainly from Syria) who participated in the family engagement component of the larger project, carried out through multilingual family mathematics workshops. Research Design: We employed qualitative research methods and conducted two-year-long observations and video recordings in the context of multilingual family mathematics workshops. In the workshops, families, teachers, and researchers engaged in patterns and early algebra activities, as well as in family conversations facilitated through open-ended prompts, mathematics picture books, and educational journey maps. Over two years, we collected data comprising recorded dialogues with families, artifacts produced in the workshops, and video data of families' mathematical interactions. Findings: Our analysis yielded two key understandings: (1) Family engagement practices around mathematics set a context to realize the nuanced nature of refugee families' cultural wealth and efforts for their children's education; and (2) refugee families' knowledge of mathematics itself as a discipline and their mathematical capital, which are typically not recognized in school contexts, can serve as resources for mathematics teaching. Conclusions/Recommendations: The findings provide insight for teachers, researchers, and policy makers about how we might engage multilingual children and families with refugee status in powerful ways in mathematics education.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1177/01614681221103948,Only Child;Child;Mathematics,,
rayyan-1077012247,Seeking academic help: The case of lower secondary students with autism        spectrum disorder and their teachers,2022,8,,LEARNING AND INSTRUCTION,0959-4752,80,,,"Zorn, S and Puustinen, M and Zorn, Sabine and Puustinen, Minna",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Our aim was to complement results obtained using interview data (Zorn & Puustinen, 2017a) by analyzing video data on the same students' (i.e., 11 students with ASD) actual help-seeking behavior as well as their teachers' (n = 17) subsequent help-giving behavior, in everyday classroom situations in both general and resource class within a mainstream lower secondary school. Ten students sought help from their teachers at least once in both contexts, yet interpersonal differences were observed. Although student help seeking partly fell into ""traditional "" help-seeking categories (i.e., instrumental help seeking, confirmation-asking), new help-seeking categories also emerged (i.e., ambiguous and organizational help seeking). Students always used verbal means to solicit help; in addition, both nonverbal and verbal means to draw teachers' attention were identified. More than 70% of help giving consisted of providing direct feedback, explaining, or instructing. The importance of analyzing the help seeking process in an ecologically valid context is emphasized.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1016/j.learninstruc.2022.101624     EA MAY 2022,"CHILDREN;CONVERSATION;ASSISTANCE;CLASSROOMS;PARTNERS;LANGUAGE;Child Development Disorders, Pervasive;Autistic Disorder",,
rayyan-1077012248,Long-term intervention of at-risk elementary students'        socio-motivational and reading comprehension competencies: Video-based        case studies of emotional support in teacher-dyad and dyadic        interactions,2022,6,,LEARNING CULTURE AND SOCIAL INTERACTION,2210-6561,34,,,"Salo, AE and Vauras, M and Hiltunen, M and Kajamies, A and Salo, Anne-Elina and Vauras, Marja and Hiltunen, Maiju and Kajamies, Anu",,English,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","The intertwining of peer and teacher emotional support patterns for enhancing at-risk students' multi-perspective academic competencies remains scarcely mapped. The multi-level analysis in the present study uncovers emotional support trajectories within teacher-dyad and dyadic interaction contexts among at-risk elementary students over a three-semester computer-supported intervention. A cluster analysis was conducted for all students (n = 318), where most intervention students had cumulated risks in socio-motivational and reading competencies. The time spent by 12 dyads within the two interaction contexts was analyzed from a vast amount of video data. The results suggested that simply allocating support time may be insufficient and its quality should be scrutinized. An in-depth video analysis of four dyads, illustrated with interaction excerpts and summary figures, indicated that teachers differed in their ability to calibrate their emotional support dynamically. The dyadic interactions of at-risk students were mostly on-task and neutral or positive. The intertwining of teacher-dyad and dyadic emotional support indicated that mechanisms positively contributed to enhancing multi-perspective academic competencies, although some risks were noted. Acknowledging the emotional states of others and successfully regulating one's own emotions were critical. Thus, infusing support for emotional competence and regulation strategies into both teacher and basic education is recommended.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1016/j.lcsi.2022.100631     EA MAY 2022,LANGUAGE COMPREHENSION;CLASSROOM;SKILLS;RELATEDNESS;ORIENTATION;PERCEPTIONS;PREDICTORS;CONFLICT;ROLES;Case-Control Studies,,
rayyan-1077012249,Teaching practices in the context of digital change: Investigations on        the sociomedial organization of tablet-supported collaborative learning,2022,12,,ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,1434-663X,25,6,1389-1408,"Herrle, M and Hoffmann, M and Proske, M and Herrle, Matthias and Hoffmann, Markus and Proske, Matthias",,German,SPRINGER VIEWEG-SPRINGER FACHMEDIEN WIESBADEN GMBH,"ABRAHAM-LINCOLN STASSE 46, WIESBADEN, 65189, GERMANY","Using digital technologies in classrooms goes along with the expectation that something will change within interactional contexts of teaching and learning. But is this really true, and if so, what is changing and in what way? This paper addresses the question by investigating teaching practices in contexts of tablet-supported collaborative learning by means of video data. The findings of the study provide insights into complex configurations of incremental transformation in which persistence and change are intertwined at different levels of interaction organization: On the one hand, it can be confirmed that the inclusion of digital media does not fundamentally shift patterns of educational interaction that constitute social order in classroom contexts. But on the other hand, it can be shown, that the use of tablets mediatizes teaching practices that are realized in group work by dealing with modified access to knowledge resources and by referring to digitalized knowledge products.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1007/s11618-022-01099-8     EA JUN 2022,"",,
rayyan-1077012250,Elements of instruction that motivate students with learning        disabilities to learn fractions,2022,"",JUN,MATHEMATICAL THINKING AND LEARNING,1098-6065,,,,"Newton, KJ and Jansen, A and Puleo, P and Newton, Kristie J. and Jansen, Amanda and Puleo, Peter",,English,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","Despite the documented influence of motivation on mathematics learning for most students, we understand far less about this relation for students identified with learning disabilities. Based on Rogoff's three planes of analysis (i.e., personal, community, and interpersonal), we gathered survey, interview, and video data to understand the motivations of sixth graders in a special education mathematics classroom as well as classroom conditions that supported motivation during a unit on fractions. By the end of that unit, students reported improved ability beliefs and attributed the changes to increased conceptual understanding of fractions, exposure to strategies for sense making, and the additional time and assistance provided to them. Through video analysis, we also found that having students verbalize their thinking about the mathematics can provide opportunities to identify remediation needs and thus support productive participation and positive ability beliefs. These findings highlight the motivational value of effective mathematics instruction for students with learning disabilities.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1080/10986065.2022.2087141     EA JUN 2022,EXPECTANCY-VALUE THEORY;ACADEMIC SELF-CONCEPT;EFFICACY BELIEFS;MATHEMATICS INSTRUCTION;ACHIEVEMENT GOALS;MATH ANXIETY;PERFORMANCE;PREDICTORS;STRATEGIES;EDUCATION;Learning Disorders;Learning,,
rayyan-1077012251,Affective states and regulation of learning during socio-emotional        interactions in secondary school collaborative groups,2023,4,,BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,0007-0998,93,,48-70,"Tormanen, T and Jarvenoja, H and Saqr, M and Malmberg, J and Jarvela, S and Tormanen, Tiina and Jarvenoja, Hanna and Saqr, Mohammed and Malmberg, Jonna and Jarvela, Sanna",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Background Group affective states for learning are constantly formed through socio-emotional interactions. However, it remains unclear how the affective states vary during collaboration and how they occur with regulation of learning. Appropriate methods are needed to track both group affective states and these interaction processes. Aims The present study identifies different socio-emotional interaction episodes during groups' collaborative learning and examines how group affective states fluctuate with regulation of learning during these episodes. Sample The participants were 54 secondary school students working in groups across four science learning sessions. Methods Multichannel process data (video, electrodermal activity [EDA]) were collected in an authentic classroom. Groups' affective states were measured with emotional valence captured from video data, and activation captured as sympathetic arousal from EDA data. Regulation of learning was observed from the videotaped interactions. Results The study disclosed four clusters of socio-emotional interaction episodes (positive, negative, occasional regulation, frequent regulation), which differed in terms of fluctuation of affective states and activated regulation of learning. These clustered episodes confirm how affective states are constantly reset by socio-emotional interactions and regulation of learning. The results also show that states requiring regulation do not automatically lead to its activation. Conclusions By advancing existing understanding of how group level socio-emotional processes contribute to regulation of learning, the study has implications for educational design and psychological practice. Methodologically, it contributes to collaborative learning research by employing multiple data channels (including biophysiological measures) to explore the various dimensions of socio-emotional processes in groups.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1111/bjep.12525     EA JUN 2022,ACHIEVEMENT EMOTIONS;SYMPATHETIC AROUSAL,,
rayyan-1077012252,Premising and arguing: The variety in 9-to 10-year-old children taking        on an equity/equality task in the context of group discussions,2022,8,,LEARNING CULTURE AND SOCIAL INTERACTION,2210-6561,35,,,"Eldstal-Ahrens, L and Nilsen, M and Pramling, N and Eldstal-Ahrens, Lea and Nilsen, Malin and Pramling, Niklas",,English,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","This study investigates primary school children's practices of premising (the handling of task premises) and arguing when confronted with a dilemmatic school task as part of a group discussion. As such, the study contributes to the field of education and argumentation with new insights into how children negotiate validity and relevance in relation to the task when asked to argue their stance on an equity/equality matter. The data consist of transcripts of 247 min of video recordings capturing 13 group discussions (54 children, split into groups of four to five, and two teachers) in the German primary school subject Sachunterricht. The findings clarify how the children dynamically move in and out of the task premises, and at times question them, both implicitly and explicitly. The task's openness and ambiguity are discussed in relation to the children's arguing and premising. The teacher's role as mediator in group discussions is contrasted with other forms of classroom discourse. Furthermore, the relevance for researchers to consider the social and cultural circumstances of research in schools - for example, when interpreting children's utterances - is emphasized.","RAYYAN-INCLUSION: {""Jürgen""=>""Excluded"", ""Juergen""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no video data",10.1016/j.lcsi.2022.100648     EA JUN 2022,DESIGNEDLY INCOMPLETE UTTERANCES;ARGUMENTATION;CONFLICT;Only Child;Child,,
rayyan-1077012253,Different Levels of Context-Specificity of Teacher Self-Efficacy and        Their Relations With Teaching Quality,2022,6,30,FRONTIERS IN PSYCHOLOGY,1664-1078,13,,,"Thommen, D and Grob, U and Lauermann, F and Klassen, RM and Praetorius, AK and Thommen, Desiree and Grob, Urs and Lauermann, Fani and Klassen, Robert M. and Praetorius, Anna-Katharina",,English,FRONTIERS MEDIA SA,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND","On the basis of Bandura's social cognitive theory, researchers often assume that a teachers' self-efficacy (TSE) will have a positive effect on teaching quality. However, the available empirical evidence is mixed. Building on previous research into TSE, we examined whether assessing class-/task-specific TSE gives a more accurate indication of the associations between TSE assessments and student-rated teaching quality. The analyses were based on the English sample of the Teaching and Learning International Survey (TALIS) Video Study. Mathematics teachers (N = 86) rated their self-efficacy beliefs using generalized task-specific TSE items and class-/task-specific TSE items. Their students (N = 1,930) rated the quality of teaching in their math class. Multilevel regression analyses revealed stronger associations between student-rated teaching quality and class-/task-specific TSE than generalized task-specific TSE. We discuss possible reasons for these results and outline the potential benefits of using class-specific assessments for future TSE research.","RAYYAN-INCLUSION: {""Jürgen""=>""Excluded"", ""Juergen""=>""Included""} | RAYYAN-LABELS: TALIS | RAYYAN-EXCLUSION-REASONS: re-use",10.3389/fpsyg.2022.857526,INSTRUCTIONAL QUALITY;JOB-SATISFACTION;STUDENTS;BELIEFS;SCHOOL;MATHEMATICS;PERCEPTIONS;DIMENSIONS;PREDICTORS,,
rayyan-1077012254,"Possible biases in observation systems when applied across contexts:        conceptualizing, operationalizing, and sequencing instructional quality",2023,2,,EDUCATIONAL ASSESSMENT EVALUATION AND ACCOUNTABILITY,1874-8597,35,1,105-128,"Luoto, J and Klette, K and Blikstad-Balas, M and Luoto, Jennifer and Klette, Kirsti and Blikstad-Balas, Marte",,English,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY","Capturing and measuring instructional patterns by using standardized observation manuals has become increasingly popular in classroom research. While researchers argue that a common vocabulary of teaching is necessary for the field of classroom research to move forward, instructional features vary across classrooms and contexts, which poses serious measuring challenges. In this article, we argue that potential biases embedded in observation systems have to be identified and addressed in order for interpretations of results across different classrooms and contexts to be valid and relevant. We identify three aspects of possible systematic biases (related to the grain size of conceptualization, operationalization, and sequencing of lessons) and how these may influence ratings of instructional quality when an established observation system (the Protocol for Language Arts Teaching Observations [PLATO]) is applied in the contexts of Nordic mathematics classrooms. We discuss implications of such possible biases and make suggestions for how they may be addressed.","RAYYAN-INCLUSION: {""Jürgen""=>""Excluded"", ""Juergen""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: methodological",10.1007/s11092-022-09394-y     EA JUL 2022,CLASSROOM OBSERVATION;TEACHER OBSERVATION;MATHEMATICAL KNOWLEDGE;INTERNATIONAL SYSTEM;VIDEO DATA;BACK;Bias (Epidemiology),,
rayyan-1077012255,Examining teachers' behavior patterns in and perceptions of using        teacher dashboards for facilitating guidance in CSCL,2022,6,,ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,1042-1629,70,3,1035-1058,"Li, YY and Zhang, MH and Su, Y and Bao, HG and Xing, S and Li, Yanyan and Zhang, Muhua and Su, You and Bao, Haogang and Xing, Shuang",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES","Learning analytics dashboards have been developed to facilitate teacher guidance in computer-supported collaborative learning (CSCL). As yet, little is known about how teachers interpret dashboard information to facilitate guidance in their teaching practice. This study examined teachers' behavior patterns in interpreting information from dashboards, and obtained their views about the potential barriers in interpreting dashboard information. Fourteen pre-service teachers participated in the study and data were collected from multiple sources. In total, 1,346 min of video data on teachers' guiding behavior and approximately 27,000 words from a cued retrospective report and interview data were generated. A two-stage approach was adopted to process the data. Based on the video analysis in the first stage, we extracted teachers' four typical behavior patterns in finding and reading dashboard information and two behavior patterns when explaining information from dashboards. Thematic analysis at the second stage identified useful indicators for teacher guidance in CSCL and some major barriers teachers encountered in interpreting information. These findings may help improve the design of dashboards and show how teachers integrate dashboards into their daily teaching practice, thereby enhancing students' collaboration and learning.","RAYYAN-INCLUSION: {""Jürgen""=>""Maybe"", ""Juergen""=>""Included""} | RAYYAN-LABELS: only screen recording?",10.1007/s11423-022-10102-2     EA JUL 2022,LEARNING ANALYTICS;COLLABORATION;AGREEMENT;AWARENESS;STUDENTS;DESIGN;ACT,,
rayyan-1077012256,Development and illustration of a framework for computational thinking        practices in introductory physics,2022,7,25,PHYSICAL REVIEW PHYSICS EDUCATION RESEARCH,2469-9896,18,2,,"Weller, DP and Bott, TE and Caballero, MD and Irving, PW and Weller, Daniel P. and Bott, Theodore E. and Caballero, Marcos D. and Irving, Paul W.",,English,AMER PHYSICAL SOC,"ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA","Physics classes with computation integrated into the curriculum are a fitting setting for investigating computational thinking. In this paper, we present a framework for exploring this topic in introductory physics courses. The framework, which was developed by reviewing relevant literature and acquiring video data from high school classrooms, comprises 14 practices that students could engage in when working with Glowscript VPython activities. For every practice, we provide in-class video data to exemplify the practice. In doing this work, we hope to provide ways for teachers to assess their students??? development of computational thinking and give physics education researchers a foundation to study the topic in greater depth.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1103/PhysRevPhysEducRes.18.020106,MATHEMATICS;EDUCATION;Thinking,,
rayyan-1077012257,What self-regulation strategies do elementary students utilize while        learning online?,2023,2,,EDUCATION AND INFORMATION TECHNOLOGIES,1360-2357,28,2,1735-1762,"Torrington, J and Bower, M and Burns, EC and Torrington, Jodie and Bower, Matt and Burns, Emma C.",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES","Little is known about the strategies elementary school students use to self-regulate their learning while in a hypermedia environment. This exploratory study investigated the self-regulatory strategies that young students (N = 48, M-age = 10.75) utilized while individually completing a 20-min online research task about space. Video data was coded using Azevedo et al.'s (2004) established coding scheme for analyzing self-regulatory behavior in hypermedia environments. Results showed that young students spent the majority of their time using cognitive strategies (M = 75.26%) to read and summarise information to complete the task. Little time was taken to plan (M = 6.99%) or monitor (M = 5.92%) their work or learning processes, which are key attributes of effective self-regulation. The study reveals the disparity between the ability to navigate within a hypermedia environment and utilizing planning and monitoring processes to enhance learning while using digital tools. This study highlights the need for the explicit teaching of planning and monitoring strategies in order for young students to develop the full range of self-regulation skills they need when using technology, for instance while learning from home during COVID-19. Implications for curriculum policy and teacher practice are discussed.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1007/s10639-022-11244-9     EA AUG 2022,"HYPERMEDIA;Social Control, Informal;Social Control, Formal",,
rayyan-1077012258,Young children's social and independent behavior during play with a        coding app: Digital game features matter in a 1:1 child to tablet        setting,2022,12,,COMPUTERS & EDUCATION,0360-1315,190,,,"Lennon, M and Pila, S and Flynn, R and Wartella, EA and Lennon, Maya and Pila, Sarah and Flynn, Rachel and Wartella, Ellen A.",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","The overarching aim of this study was to explore young children's (N = 25, Mage = 5.16 years) play with two coding games (Daisy the Dinosaur and Kodable) in a 1:1 child to tablet setting. We had three research questions focused on children's game play: 1) How does the structure of each game influence children's play? 2) Do children play more or less independently depending on the game they play? 3) Do children who play the games more independently learn more coding skills? Three researchers coded more than 6 h of video data showing children's play with digital coding games. Findings include, that the type of game did influence the different ways that children behaved while playing. However, during both games, children had the same amount of inde-pendent play. Children who played more independently during Daisy the Dinosaur learned more coding skills. This may be because these children were focusing more on the game than their peers as we did not find a similar effect for the game Kodable. We discuss the ways that children play structured vs. open structured (i.e., sandbox) digital games with a particular focus on how game play may influence learning. As opportunities for individual device ownership in classrooms increase, future work should continue to explore how game features influence learning.","RAYYAN-INCLUSION: {""Jürgen""=>""Maybe"", ""Juergen""=>""Included""}",10.1016/j.compedu.2022.104608     EA AUG 2022,EDUCATIONAL APPS;ENGAGEMENT;SCIENCE;IMPACT;TOOLS;Only Child;Child,,
rayyan-1077012259,An Immersive Human-Robot Interactive Game Framework Based on Deep        Learning for Children's Concentration Training,2022,9,,HEALTHCARE,,10,9,,"Liu, L and Liu, YG and Gao, XZ and Zhang, XM and Liu, Li and Liu, Yangguang and Gao, Xiao-Zhi and Zhang, Xiaomin",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","In order to alleviate bottlenecks such as the lack of professional teachers, inattention during training processes,and low effectiveness in concentration training, we have proposed an immersive human-robot interactive (HRI) game framework based on deep learning for children's concentration training and demonstrated its use through human-robot interactive games based on gesture recognition. The HRI game framework includes four functional modules: video data acquisition, image recognition modeling, a deep learning algorithm (YOLOv5), and information feedback. First, we built a gesture recognition model containing 10,000 pictures of children's gestures, using the YOLOv5 algorithm. The average accuracy in recognition training was 98.7%. Second, we recruited 120 children with attention deficits (aged from 9 to 12 years) to play the HRI games, including 60 girls and 60 boys. In the HRI game experiment, we obtained 8640 sample data, which were normalized and processed.According to the results, we found that the girls had better visual short-term memory and a shorter response time than boys. The research results showed that HRI games had a high efficacy, convenience, and full freedom, making them appropriate for children's concentration training.","RAYYAN-INCLUSION: {""Jürgen""=>""Excluded"", ""Juergen""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no video data",10.3390/healthcare10091779,EEG;Humanities;Humanism;Humans;Only Child;Child;Immersion;Robotics,,
rayyan-1077012260,Common Core-Related Shifts in English Language Arts Teaching From 2010        to 2018 A Video Study,2022,9,1,ELEMENTARY SCHOOL JOURNAL,0013-5984,123,1,37-63,"White, M and Maher, B and Rowan, B and White, Mark and Maher, Bridget and Rowan, Brian",,English,UNIV CHICAGO PRESS,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA","The Common Core State Standards (CCSS) for English language arts (ELA) called for several ""key shifts"" in classroom instructional practice. This study combined archived video data on classroom teaching collected in 2010 with new video data on classroom teaching collected in 2018 to conduct a pre-/postexamination of the extent to which this corpus of lessons showed the kinds of key shifts in ELA instruction called for by the CCSS. The data presented in the article show meaningful time trends consistent with some, but not all, of the key shifts in ELA instruction called for by the CCSS. These findings are discussed in light of the goals of the study and prior research on post-CCSS instruction in classrooms across the country.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1086/720732     EA SEP 2022,STANDARDS;TEXT,,
rayyan-1077012261,"Initial Steps in Developing Classroom Observation Rubrics Designed        Around Instructional Practices that Support Equity and Access in        Classrooms with Potential for ""Success""",2022,11,,TEACHERS COLLEGE RECORD,0161-4681,124,11,179-217,"Wilson, J and Wilson, Jonee",,English,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA","Background:The field of mathematics education has made progress toward generating a set of instructional practices that could support improvements in the learning opportunities made available to groups of students who historically have been underserved and marginalized. Studies that contribute to this growing body of work are often conducted in learning environments that are framed as ""successful."" As a researcher who is concerned with issues of equity and who acknowledges the importance of closely attending to the quality of the mathematical activity in which students are being asked to engage, my stance on ""successful learning environments"" pulls from both Gutierrez's descriptions of what characterizes classrooms as aiming for equity and the emphasis on the importance of conceptually oriented goals for student learning that is outlined in documents like the Standards. Though as a field we are growing in our knowledge of practices that support these successful learning environments, this knowledge has not yet been reflected in many of the observational tools, rubrics, and protocols used to study these environments. In addition, there is a growing need to develop empirically grounded ways of attending to the extent to which the practices that are being outlined in research literature actually contribute to the ""success"" of these learning environments. Purpose:The purpose of this article is to explore one way of meeting this growing need by describing the complex work of developing a set of classroom observation rubrics (the Equity and Access Rubrics for Mathematics Instruction, EAR-MI) designed to support efforts in identifying and observing critical features of classrooms characterized as having potential for ""success."" In developing the rubrics, I took as my starting place findings from an analysis that compared a set of classrooms that were characterized as demonstrating aspects of successful learning environments and a set of classrooms that were not characterized as successful. This paper not only describes the process of developing the rubrics, but also outlines some of the qualitative differences that distinguished more and less effective examples of the practices the rubrics are designed to capture. Research Design:In designing the rubrics, I engaged in multiple cycles of qualitative analyses of video data collected from a large-scale study. Specifically, I iteratively designed, tested, and revised the developing rubrics while consistently collaborating with, consulting with, and receiving feedback from different experts in the field of education. Conclusions:Although I fully acknowledge and recognize that there are several tensions and limitations of this work, I argue that developing rubrics like the EAR-MI is still worthwhile. One reason that I give for continuing these types of efforts is that it contributes to the work of breaking down forms of practice into components and identifying key aspects of specific practices that are critical for supporting student learning in ways that make potentially productive routines of action visible to and learnable by others, which may ultimately contribute to the development of more successful learning environments.        I also argue that rubrics like the EAR-MI have the potential to support researchers in developing stronger evidence of the effectiveness of practices that prior research has identified as critical for marginalized students and in more accurately and concretely identifying and describing learning environments as having potential for ""success.        ""","RAYYAN-INCLUSION: {""Jürgen""=>""Maybe"", ""Juergen""=>""Included""} | RAYYAN-LABELS: potential re-use?",10.1177/01614681221140963,AFRICAN-AMERICAN;MATHEMATICS;QUALITY;KNOWLEDGE;TEACHERS;THINKING,,
rayyan-1077012262,"How is modern bedside teaching structured? A video analysis of learning        content, social and spatial structures",2022,11,15,BMC MEDICAL EDUCATION,,22,1,,"Blaschke, AL and Rubisch, HPK and Schindler, AK and Berberat, PO and Gartmeier, M and Blaschke, Anna-Lena and Rubisch, Hannah P. K. and Schindler, Ann-Kathrin and Berberat, Pascal O. and Gartmeier, Martin",,English,BMC,"CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Background Bedside teaching (BST) is an essential and traditional clinical teaching format. It has been subject to various impediments and has transformed over time. Besides a decrease in bedside time, there has also been a didactic diversification. In order to use time at the bedside effectively and understand the current design of BST, we here offer an evidence-based insight into how BST is practiced. This may serve as a basis for a refinement of its didactic design. Methods In the current study, we investigate the interrelationships between learning content and the social as well as spatial structures of BST. To this end, we have empirically analysed almost 80 hours of video material from a total of 36 BST sessions with good interrater reliability. Results BST lasted on average 125 min, most of which was spent in plenary and less than a third of the time at the patient's bedside. History taking was primarily practiced at the bedside while case presentations, clinical reasoning and theoretical knowledge were largely taught away from the patient. Clinical examination took place to a similar extent in the patient's room and in the theory room. Conclusions Even though the filmed BSTs are not purely ""bedside"", the teaching format investigated here is a typical example of undergraduate medical education. In order to maximize the teaching time available, a suitable learning space should be provided in addition to the bedside. Moreover, the clinical examination should be revised in its general sequence prior to the BST, and conscious decisions should be made regarding the social structure so as to optimize the potential of small groups and plenary sessions.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1186/s12909-022-03855-0,CLINICAL SKILLS;MEDICAL-EDUCATION;ATTENDING ROUNDS;STUDENT;CONSTRUCTION;EXPERIENCES;STRATEGIES;CURRICULUM;TEACHERS;IMPACT,,
rayyan-1077012263,Peer tutoring models in collaborative learning of mathematical problem        solving and their effect on group achievement,2023,6,,EDUCATION AND INFORMATION TECHNOLOGIES,1360-2357,28,6,6595-6618,"Li, YY and Jiang, CL and Chen, ZZ and Fang, J and Wang, CY and He, XL and Li, Yangyang and Jiang, Chunlian and Chen, Zengzhao and Fang, Jing and Wang, Chenyang and He, Xiuling",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES","This study was conducted to examine peer tutoring models in collaborative learning of mathematical problem solving (MPS) in flipped classrooms and their effect on group achievement. Quantitative data collected include 32 videos of eight groups of students in four MPS periods that were designed based on a simplified version of Polya's four-stage model, and their worksheets completed in each period. The video data were coded based on a framework with low-level and high-level cognitive behaviors as well as management behaviors and were analyzed using lag sequence analysis from which three types of peer tutoring models were determined: organization-oriented, cognitive-supported, and cognitive-guided. ANOVA analysis showed that the groups with cognitive-guided tutors performed significantly better than the groups guided by cognitive-supported and organization-oriented tutors, between which the performance difference did not reach a significant level. The results of this study suggest that training provided to peer tutors should focus more on how to stimulate high-level cognitive thinking skills than on organization skills.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1007/s10639-022-11429-2     EA NOV 2022,FLIPPED CLASSROOM;PERFORMANCE;EDUCATION;Problem Solving;Mathematics,,
