Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Affiliations;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Name Preferred;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;DOI Link;Book DOI;Early Access Date;Number of Pages;WoS Categories;Web of Science Index;Research Areas;IDS Number;Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;UT (Unique WOS ID);Web of Science Record
J;Bagatell, N;;;;Bagatell, Nancy;;;Engaged Moments: Mediated Action and Children With Autism in the Classroom Setting;OTJR-OCCUPATION PARTICIPATION AND HEALTH;;;;;;;;;;;;The purpose of this microethnographic study is to explore ways to better understand engagement in occupation of children with autism spectrum disorder. Using video data, moments of engagement were examined in a child with autism spectrum disorder during the daily classroom activity of Circle Time. The interpretive frame focused on mediated action, the interaction between the agent, and cultural tools. Three scenes were analyzed using narrative and micro-analytic strategies. Analyses of two scenes highlighted how social and material mediators offer opportunities for engagement. Other children with autism provided appropriate scaffolds and demonstrated evidence of intersubjectivity, whereas material tools provided proximal prompts that enabled the child to engage. The third scene suggests that engagement may not always be observable (i.e., engagement may be a subjective state). Implications for practice and methodological insights are offered.;;;;;;;;;;;;;;;;;;;1539-4492;1938-2383;;;;WIN;2012;32;1;;;;;258;265;;10.3928/15394492-20110722-01;http://dx.doi.org/10.3928/15394492-20110722-01;;;;;;;;;;;;;WOS:000299212600006;View Full Record in Web of Science
J;"Fitzgerald, A; Hackling, M; Dawson, V";;;;"Fitzgerald, Angela; Hackling, Mark; Dawson, Vaille";;;Through the Viewfinder: Reflecting on the Collection and Analysis of Classroom Video Data;INTERNATIONAL JOURNAL OF QUALITATIVE METHODS;;;;;;;;;;;;The possibilities inherent in the collection and use of video footage point to an important innovation for classroom research. Unfortunately, researchers often experience uncertainty about incorporating video into their methodological approach as it can present a potential minefield of operational, technical, and ethical issues that require consideration and negotiation. Nevertheless, with the increased emphasis on the use of digital technologies, the timing is right to engage in more in-depth discussions about the role of video data in education research. In contributing to this discussion, this article unpacks several issues connected to the use of video technology as a tool for data collection and analysis. This article focuses on addressing some of the barriers faced by education researchers such as making sampling decisions, maintaining research authenticity, and grappling with ethical issues that arise. In terms of the advantages for researchers, this article highlights the suitability of video technology for classroom-based research because it provides a permanent and detailed record, which can be analyzed from multiple perspectives. These issues are explained through the experiences of an education researcher, who used video as the main data source for documenting and examining the practices of two effective primary science teachers in Perth, Western Australia.;;;;;Dawson, Vaille M/I-4231-2014;"Dawson, Vaille M/0000-0003-1754-9086; Fitzgerald, Angela/0000-0001-8010-2215";;;;;;;;;;;;;1609-4069;;;;;;2013;12;;;;;;52;64;;10.1177/160940691301200127;http://dx.doi.org/10.1177/160940691301200127;;;;;;;;;;;;;WOS:000326863800004;View Full Record in Web of Science
J;"Kulatunga, U; Lewis, JE";;;;"Kulatunga, Ushiri; Lewis, Jennifer E.";;;Exploration of peer leader verbal behaviors as they intervene with small groups in college general chemistry;CHEMISTRY EDUCATION RESEARCH AND PRACTICE;;;;;;;;;;;;Current literature has emphasized the lack of research into verbal behaviors of teachers as a barrier to understanding the effectiveness of instructional interventions. This study focuses on the verbal behaviors of peer leaders, who serve as de facto teachers in a college chemistry teaching reform based on cooperative learning. Video data obtained throughout a semester of General Chemistry I from two different peer leaders, each interacting with a different group of students, was subjected to two rounds of qualitative data analysis. First, Toulmin's argumentation scheme was used to characterize the arguments constructed by group members during peer leader intervention. Next, verbal behaviors exhibited by the peer leaders during intervention were examined. Findings of this study showed that peer leaders used an array of verbal behaviors to guide students to build chemistry knowledge, and that a relationship existed between student argument components and peer leader verbal behaviors, with data most frequently emerging in response to short questions from the peer leader, and warrants in response to probing and clarifying questions. The findings from this study have implications for professional development of teachers at all levels, specifically for demonstrating the interplay between group intervention strategies and student discourse within cooperative learning groups.;;;;;"Lewis, Jennifer E/F-8730-2011; Kulatunga, Ushiri/HZI-2345-2023";"Lewis, Jennifer E/0000-0001-9910-3007; Kulatunga, Ushiri/0000-0001-7404-598X";;;;;;;;;;;;;1109-4028;1756-1108;;;;;2013;14;4;;;;;576;588;;10.1039/c3rp00081h;http://dx.doi.org/10.1039/c3rp00081h;;;;;;;;;;;;;WOS:000325570900019;View Full Record in Web of Science
J;"Lan, YJ; Kan, YH; Hsiao, IYT; Yang, SJH; Chang, KE";;;;"Lan, Yu-Ju; Kan, Yu-Hsuan; Hsiao, Indy Y. T.; Yang, Stephen J. H.; Chang, Kuo-En";;;Designing interaction tasks in Second Life for Chinese as a foreign language learners: A preliminary exploration;AUSTRALASIAN JOURNAL OF EDUCATIONAL TECHNOLOGY;;;;;;;;;;;;The aims of this research were to develop guidelines for designing interaction tasks for learners of Chinese as a foreign language (CFL) and to investigate the attitudes of CFL learners toward a full CFL class in Second Life (SL). Three research questions were addressed in this research: (1) what are the attitudes of CFL learners toward the language learning tasks in SL? (2) what kinds of social interactions emerge from learning activities in a CFL class in SL? (3) how do those activities benefit CFL learners in the learning of Chinese in SL? Two studies were conducted to tackle these questions. The cognition, usage, and expansion (CUE) model was proposed based on the findings obtained from study 1 and then implemented and evaluated in study 2. The findings of study 2 indicated that the activities run in the CUE model were effective at motivating CFL beginners and improving their oral communication and social interactions. Based on the video data analysis, three criteria were proposed for designing learning activities. Suggestions are also made for future research on CFL teaching/learning in SL.;;;;;;"Yang, Stephen/0000-0003-1059-620X; Lan, Yu-Ju/0000-0003-0229-5079";;;;;;;;;;;;;1449-3098;;;;;;2013;29;2;;;;;184;202;;;;;;;;;;;;;;;;WOS:000323171600005;View Full Record in Web of Science
J;"Gellert, U; Barbe, J; Espinoza, L";;;;"Gellert, Uwe; Barbe, Joaquim; Espinoza, Lorena";;;Towards a local integration of theories: codes and praxeologies in the case of computer-based instruction;EDUCATIONAL STUDIES IN MATHEMATICS;;;;;;;;;;;;We report on the development of a language of description that facilitates an integrated analysis of classroom video data in terms of the quality of the teaching-learning process and the students' access to valued forms of mathematical knowledge. Our research setting is the introduction of software for teachers for improving the mathematical learning in underprivileged classrooms. As theoretical antecedents we draw on the Th,orie Anthropologique du Didactique (Chevallard) and the Theory of Pedagogic Codes (Bernstein). We systematically integrate these theories locally. As a result on a meta-theoretical level, a new methodology, consisting of a system of categories, is the product of the local integration of the two theories.;;;;;"Barbe Farre, Joaquim/Q-5419-2017; espinoza, lorena/I-2215-2015";"Barbe Farre, Joaquim/0000-0002-7260-5178; espinoza, lorena/0000-0002-8752-3423";;;;;;;;;;;;;0013-1954;1573-0816;;;;FEB;2013;82;2;;;;;303;321;;10.1007/s10649-012-9427-5;http://dx.doi.org/10.1007/s10649-012-9427-5;;;;;;;;;;;;;WOS:000313652400008;View Full Record in Web of Science
J;"Jurik, V; Groschner, A; Seidel, T";;;;"Jurik, Verena; Groeschner, Alexander; Seidel, Tina";;;How student characteristics affect girls' and boys' verbal engagement in physics instruction;LEARNING AND INSTRUCTION;;;;;;;;;;;;This study investigated how student characteristics predict the nature of girls' and boys' verbal interactions with their teachers in physics classes. The sample included (N = 1378) students from 81 randomly selected high-school physics classrooms in Germany and the German-speaking part of Switzerland. At the beginning of the school year, the following student characteristics were assessed: cognitive abilities, pre-knowledge, self-concept, and interest. Each student was classified as having one of five profiles previously identified by Seidel (2006). Classroom instruction was videotaped four months after student characteristics were assessed. The videotaped classroom interactions were coded and analyzed with respect to the students' profiles. Multilevel analysis indicated the highest amount of verbal engagement for girls and boys with high-level cognitive and motivational-affective characteristics. There are significant interactions between student profile and gender for girls with high-level characteristics. We argue that the interaction between gender and other characteristics is a valuable predictor of verbal engagement in physics instruction. (c) 2012 Elsevier Ltd. All rights reserved.;;;;;Seidel, Tina/C-6221-2009;"Seidel, Tina/0000-0002-2578-1208; Groschner, Alexander/0000-0001-7286-7445";;;;;;;;;;;;;0959-4752;1873-3263;;;;FEB;2013;23;;;;;;33;42;;10.1016/j.learninstruc.2012.09.002;http://dx.doi.org/10.1016/j.learninstruc.2012.09.002;;;;;;;;;;;;;WOS:000311770100004;View Full Record in Web of Science
J;"Kim, M; Lavonen, J; Juuti, K; Holbrook, J; Rannikmae, M";;;;"Kim, Minkee; Lavonen, Jari; Juuti, Kalle; Holbrook, Jack; Rannikmaee, Miia";;;TEACHER'S REFLECTION OF INQUIRY TEACHING IN FINLAND BEFORE AND DURING AN IN-SERVICE PROGRAM: EXAMINATION BY A PROGRESS MODEL OF COLLABORATIVE REFLECTION;INTERNATIONAL JOURNAL OF SCIENCE AND MATHEMATICS EDUCATION;;;;;;;;;;;;In inquiry-based science education, there have been gradual shifts in research interests: the nature of scientific method, the debates on the effects of inquiry learning, and, recently, inquiry teaching. However, many in-service programs for inquiry teaching have reported inconsistent results due to the static view of classroom inquiries and due to the partial perspective between individual and collaborative reflections. Thus, by means of a theoretical progress model of collaborative reflection, this qualitative research aims to investigate reflections of four participant teachers before and during a half-year in-service teacher program. The model captures the following four interactions for each individual teacher and among the teacher cohort: belief to practice, practice to belief, stimulation, and reinforcement. The audio-video data and their quantification allowed identification of the teachers' consistent prior beliefs and practices as a multiplicity of inquiry teaching and their interwoven progress during the program. The findings are further discussed in terms of the implicit development and the richer repertoire.;;;;;"Juuti, Kalle/IVU-8618-2023; Holbrook, Jack/A-8415-2015";"Juuti, Kalle/0000-0001-8696-2611; Holbrook, Jack/0000-0002-1642-8701; Lavonen, Jari/0000-0003-2781-7953; Rannikmae, Miia/0000-0001-7265-3009";;;;;;;;;;;;;1571-0068;1573-1774;;;;APR;2013;11;2;;;;;359;383;;10.1007/s10763-012-9341-4;http://dx.doi.org/10.1007/s10763-012-9341-4;;;;;;;;;;;;;WOS:000316352600004;View Full Record in Web of Science
J;"Reusser, K; Pauli, C";;;;"Reusser, Kurt; Pauli, Christine";;;Recording Comprehension Orientation in Math Lessons. Results of a methodologically integrative approach;ZEITSCHRIFT FUR PADAGOGIK;;;;;;;;;;;;The potential of a methodologically integrative approach in research on teaching is discussed and illustrated by looking at the recording of comprehension orientation - a crucial quality feature of general education. Following an introductory chapter, the authors base their investigation on three selected analyses from two video studies dealing with the quality of Math instruction in lower secondary education in German and Swiss schools: the video study Quality of instruction, learning behavior and mathematical understanding (Klieme, Pauli & Reusser, 2009) - in the following referred to as Pythagoras Study - and its follow-up study Instructional dialogues and learning outcomes in problem-oriented mathematics teaching (DidKom).;;;;;;;;;;;;;;;;;;;0044-3247;;;;;MAY-JUN;2013;59;3;;;;;308;335;;;;;;;;;;;;;;;;WOS:000319366500003;View Full Record in Web of Science
J;Herrle, M;;;;Herrle, Matthias;;;Classroom management beyond school teaching - Microethnographic analysis of classroom flow control in adult education and vocational training;ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT;;;;;;;;;;;;To enable teaching to take place as a teacher-learner interaction, the participants must mutually coordinate their behaviour. The teaching staff in particular are expected to take responsibility for the results of such coordination processes, i.e. for the sequence of activities which take place from one moment to the next in lessons. But how do they manage to control the actions of the learners and thus create (dis)continuity in the lessons? This question, which is rooted in the tradition of classroom management, is all the more relevant if the learners cannot be assumed to be willing to comply or if compliance cannot be easily demanded-which applies to some extent to teaching events for adults. In this article, the results of a microethnographic video study are presented to show the methods which the participants use at the beginning of adult and vocational education courses to influence the actions of other persons. A case study is used to illustrate how the teacher deals with problems in classroom flow control by the contextually appropriate use of various regulation methods, and thus plays a role in creating the (dis)continuity which shapes the sequence of events in the lessons. This especially underlines the potential of non-verbal forms of expression to herald a change of activities. This approach to research involves a shift in the perspective of adult education professionalism research from the ex-post analysis of professional knowledge to the in-situ observation of professional skills. With the aid of video-based (micro-)ethnographic approaches, the forms which the teaching staff routinely use to deal with specific action requirements are made visible with a high degree of empirical resolution. This extends the application of ethnographic methods. The classroom management discourse from school teaching is brought into a theoretical and empirical dialogue with course and interaction research in adult education. And finally, this creates a basis which enables the appropriateness of educational action variants to be discussed in an empirically meaningful way in the light of normative teaching theories.;;;;;Herrle, Matthias/HHC-1369-2022;;;;;;;;;;;;;;1434-663X;1862-5215;;;;SEP;2013;16;3;;;;;599;627;;10.1007/s11618-013-0376-2;http://dx.doi.org/10.1007/s11618-013-0376-2;;;;;;;;;;;;;WOS:000324106700007;View Full Record in Web of Science
J;"Barron, IG; Topping, KJ";;;;"Barron, Ian G.; Topping, Keith J.";;;Survivor Experience of a Child Sexual Abuse Prevention Program: A Pilot Study;JOURNAL OF INTERPERSONAL VIOLENCE;;;;;;;;;;;;Addressing gaps in the research, the current study assesses the impact of a community-based child sexual abuse prevention program on known survivor knowledge/skills, disclosures, and subjective experience. Methodologically, novel measures of program fidelity and implementation cost are applied. A pre- posttest wait-list control design was utilized with intervention (n = 10) and comparison groups (n = 10). Measures included a standardized knowledge/skill questionnaire, coding of disclosures, subjective experience questionnaires, in-depth interviews, video analysis of program adherence, and a measure of cost. Analysis involved nonparametric tests and thematic analysis of interview and video data. Cost was calculated for the group and per survivor. Survivors achieved significant gains in knowledge/skills, made further disclosures, and were positive about their program experience. No gains were identified in the control group. Costs were small. Future studies need to explore survivor experience of programs delivered in classrooms.;;;;;Topping, Keith James/AAA-2383-2022;"Topping, Keith James/0000-0002-0589-6796; Barron, Ian/0000-0002-6236-9810";;;;;;;;;;;;;0886-2605;1552-6518;;;;SEP;2013;28;14;;;;;2797;2812;;10.1177/0886260513488690;http://dx.doi.org/10.1177/0886260513488690;;;;;;;;23686619;;;;;WOS:000323433000001;View Full Record in Web of Science
J;"Buhrig, K; Duarte, J";;;;"Buehrig, Kristin; Duarte, Joana";;;The role of migration-induced multilingualism for learning in content-matter subjects: example of a video study in upper secondary education;GRUPPENDYNAMIK UND ORGANISATIONSBERATUNG;;;;;;;;;;;;In this article an exemplary analysis focussing on the role of multilingual communication in upper secondary education at a German school will be presented. In the analysis, we focus on the language choice of two pupils who, during partner work on the analysis of a historical speech in History class, use both the German and Russian language. We reconstruct extracts of their task solving process in the context of a functional-pragmatic discourse analysis. The excerpts of the partner work presented in the text show approaches of multidimensional reflection processes in working with the text, during which it comes to a functional use of both languages. The relevance of our reconstruction of student-student interaction during task solving will become evident through the embedment of the results in the controversial discussion on multilingual communication in mainstream classrooms.;;;;;;Silveira Duarte, Joana/0000-0002-3549-6910;;;;;;;;;;;;;1618-7849;1862-2615;;;;SEP;2013;44;3;;;;;245;275;;10.1007/s11612-013-0217-z;http://dx.doi.org/10.1007/s11612-013-0217-z;;;;;;;;;;;;;WOS:000323659700002;View Full Record in Web of Science
J;"Bahl, R; Murphy, DJ; Strachan, B";;;;"Bahl, Rachna; Murphy, Deirdre J.; Strachan, Bryony";;;Decision-making in operative vaginal delivery: when to intervene, where to deliver and which instrument to use? Qualitative analysis of expert clinical practice;EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY;;;;;;;;;;;;Objective: To identify the decision-making process involved in determining when to intervene, where to deliver and the optimal choice of instrument for operative vaginal deliveries in the second stage of labour. Study design: A qualitative study using interviews and video recordings took place at two university teaching hospitals (St. Michael's Hospital Bristol and Ninewells Hospital, Dundee). Ten obstetricians and eight midwives were identified as experts in conducting or supporting operative vaginal deliveries. Semi-structured interviews were carried out using routine clinical scenarios. The experts were also video recorded conducting low cavity vacuum and mid-cavity rotational forceps deliveries in a simulation setting. The interviews and video recordings were transcribed verbatim and analysed using thematic coding. The anonymised data were independently coded by three researchers and then compared for consistency of interpretation. The experts reviewed the coded interview and video data for respondent validation and clarification. The themes that emerged following the final coding were used to identify the decision-making process when planning and conducting an operative vaginal delivery. Key decision points were reported in selecting when and where to conduct an operative vaginal delivery and which instrument to use. Results: The final decision-making list highlights the various decision points to consider when performing an operative vaginal delivery. We identified clinical factors that experts take into consideration when selecting where the delivery should take place and the preferred choice of instrument. Conclusion: This detailed illustration of the decision-making process could aid trainees' understanding of the approach to safe operative vaginal delivery, aiming to minimise morbidity. (C) 2013 Elsevier Ireland Ltd. All rights reserved.;;;;;;Murphy, Deirdre Josephine/0000-0001-6074-6718;;;;;;;;;;;;;0301-2115;1872-7654;;;;OCT;2013;170;2;;;;;333;340;;10.1016/j.ejogrb.2013.06.033;http://dx.doi.org/10.1016/j.ejogrb.2013.06.033;;;;;;;;23910696;;;;;WOS:000326009000008;View Full Record in Web of Science
J;Geelan, D;;;;Geelan, David;;;Teacher Explanation of Physics Concepts: a Video Study;RESEARCH IN SCIENCE EDUCATION;;;;;;;;;;;;Video recordings of Year 11 physics lessons were analyzed to identify key features of teacher explanations. Important features of the explanations used included teachers' ability to move between qualitative and quantitative modes of discussion, attention to what students require to succeed in high stakes examinations, thoughtful use of analogies, storytelling and references to the history of science, the use of educational technology, and the use of humor. Considerable scope remains for further research into teacher explanations in physics.;;;;;Geelan, David/G-3356-2012;Geelan, David/0000-0002-7455-0713;;;;;;;;;;;;;0157-244X;1573-1898;;;;OCT;2013;43;5;;;;;1751;1762;;10.1007/s11165-012-9336-8;http://dx.doi.org/10.1007/s11165-012-9336-8;;;;;;;;;;;;;WOS:000324551800002;View Full Record in Web of Science
J;"Patchen, T; Smithenry, DW";;;;"Patchen, Terri; Smithenry, Dennis W.";;;Framing Science in a New Context: What Students Take Away From a Student-Directed Inquiry Curriculum;SCIENCE EDUCATION;;;;;;;;;;;;Student-directed inquiry in science is an important mechanism for helping students develop a repertoire of practices that reflects the work of real scientists. But few studies consider what students take away from this type of instruction, i.e., how strategies developed in such curricula transfer into other contexts. Our research addresses this gap by examining how strategies cultivated in a yearlong chemistry curriculum (the originating context) appeared (absent teacher intervention) in a new context with new peers. Dependent upon Lobato's actor-oriented transfer perspective (2006), this mixed-methods study deploys a multilevel analysis of video data collected in six physics classrooms (the new context) during a researcher-designed activity. Results show that absent teacher directives, two classes partially attempted to frame the physics inquiry using strategies cultivated in the original context, and one fully framed the new context using these strategies. This class's successful use of a specific focusing phenomenon (electing student managers) appeared as the key component in this full framing. Significantly, we found that a carefully designed inquiry curriculum can support students' capacity to (a) organize to work collaboratively, (b) communicate to engage all students in the inquiry investigation, and (c) conduct scientific work that meets disciplinary requirements. (C) 2013Wiley Periodicals, Inc. Sci Ed 97:801-829, 2013;;;;;;;;;;;;;;;;;;;0036-8326;1098-237X;;;;NOV;2013;97;6;;;;;801;829;;10.1002/sce.21077;http://dx.doi.org/10.1002/sce.21077;;;;;;;;;;;;;WOS:000330192300001;View Full Record in Web of Science
J;Grimminger, E;;;;Grimminger, Elke;;;Sport motor competencies and the experience of social recognition among peers in physical education - a video-based study;PHYSICAL EDUCATION AND SPORT PEDAGOGY;;;;;;;;;;;;"Background: Being recognized as a competent and accepted member in the peer group is one of the most important basic human needs for children and youth. However, it is the peer group itself that decides which competencies are estimated and which are not, and through this process, a social order as well as peer power constellations is created.Purpose: This study aimed to determine if and how sport motor competencies are used as a criterion for the experience of recognition or non-recognition among peers in physical education (PE). Therefore, a mixed-method study was conducted.Data collection: The data set includes video data from six different school classes (a total of 59 video sequences) and 40 video-stimulated recall interviews with children who experience non-recognition or with children who transmit non-recognition. In addition, sociograms were included, as well as PE teachers' ratings of their students' sport motor competencies.Findings: A correlation analysis shows that sport motor competencies and the sociometric position in the peer group are significantly intercorrelated (r=0.50, p0.01). But a gender-differentiated analysis reveals that this finding is only valid for boys in their boys' peer group (r=0.60, p0.01), not for girls in their girls' peer group. The analysis of the video data based on the sociogram, interview, and sport motor rating data as validation methods identifies three contexts in PE classes where children refer to sport motor competencies to transmit recognition or non-recognition: (1) Children with relatively better motor skills draw attention to children with relatively poor motor skills in a humiliating manner by using publicizing strategies. The motor deficits of the concerned children are obviously focused upon on the social stage of the class. (2) Sport motor accidents can commonly happen to anyone regardless of the sport motor competencies offering an opportunity for practices of differentiation: sport motor accidents of popular children are positively focused upon and celebrated, even in competitive situations, while sport motor accidents of unpopular children in competitive situations lead to publicly demonstrated anger and to the loss of their positions and functions. Children use these situations as an opportunity to demonstrate social networks and affiliation borders as they do in the third context. (3) The social validation of sport motor successes is not only the recognition of good performance of a classmate, but also the acknowledgment of being significant for the successful student, as successful students only accept the recognizing acts of selective classmates; social relationships are publicly demonstrated. In conclusion, sport motor competencies play an important role in the everyday struggles of children for recognition in their peer group.";;;;;;Grimminger-Seidensticker, Elke/0000-0002-0932-3100;;;;;;;;;;;;;1740-8989;1742-5786;;;;NOV 1;2013;18;5;;;;;506;519;;10.1080/17408989.2012.690387;http://dx.doi.org/10.1080/17408989.2012.690387;;;;;;;;;;;;;WOS:000326221600004;View Full Record in Web of Science
J;"Bunning, K; Gona, JK; Buell, S; Newton, CR; Hartley, S";;;;"Bunning, Karen; Gona, Joseph K.; Buell, Susan; Newton, Charles R.; Hartley, Sally";;;Investigation of practices to support the complex communication needs of children with hearing impairment and cerebral palsy in a rural district of Kenya: a case series;INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS;;;;;;;;;;;;"BackgroundRehabilitation services are scarce in low-income countries, where under-representation of some specialist professions has led to the role extension of others. An example of this can be found in Kilifi in Kenya where the role of speech and language therapy has been taken on by occupational therapists and teachers. AimsTo investigate the communication practices used by these professional groups to support children with complex communication needs in a rural part of Kenya and to explore the ways in which this might be seen to facilitate or obstruct improved communication by asking the following questions: What are the critical features of interactional discourse in practitioner-child dyads with caregiver-child dyads providing a natural comparison? What communicative modalities and practice techniques are invoked? And how does this information relate to extending professional roles? Methods & ProceduresAn in-depth, descriptive study of a case series was conducted in a school for deaf children and the occupational therapy department of a district general hospital. A mixed methodology was used involving naturalistic observation and applied linguistics analysis. A convenience sample was established comprising six practitioner-child dyads assigned to partnership types: (A) three children with hearing impairment and their teachers; and (B) three children with cerebral palsy and their occupational therapists. As a natural comparator, the same three children in B were also observed with their mothers (partnership typeC). Dyadic interaction was video recorded on three occasions. The video data were sampled, transcribed into standard orthography and translated. Codes were applied to determine turn structure, linguistic move types and communicative modalities. Sequential analysis was conducted on the move types. Outcomes & ResultsPartnership typeA dyads showed a fairly even turn distribution between teacher and child. A common pattern was teacher-initiated Instruct and Model/Prompt, followed by child response in the form of an Action. The most frequently used modality was Sound Production and Hands-on-Articulators, which corresponded to articulation drill practice. Partnership typeB dyads revealed a tendency towards adult domination of turns. The majority of adult-initiated moves required no response from the child. The practice technique Hands-on-Articulators involved manipulating the oral musculature of the child. Partnership typeC dyads showed resonances of typeB dyads, although focused more on Motor-Action in relation to task performance. Conclusions & ImplicationsThe assignment of speech and language therapy duties to teachers and occupational therapists has resulted in suboptimal practice for children with complex communication needs.";;;;;"Newton, Charles/V-7872-2019; Newton, Charles RJC/B-7578-2014";"Newton, Charles/0000-0002-6999-5507; Newton, Charles RJC/0000-0002-6999-5507; Buell, Susan/0000-0002-1496-6557; Bunning, Karen/0000-0002-7396-9205";;;;;;;;;;;;;1368-2822;1460-6984;;;;NOV;2013;48;6;;;;;689;702;;10.1111/1460-6984.12042;http://dx.doi.org/10.1111/1460-6984.12042;;;;;;;;24165365;;;;;WOS:000326057500008;View Full Record in Web of Science
J;"Kulatunga, U; Moog, RS; Lewis, JE";;;;"Kulatunga, Ushiri; Moog, Richard S.; Lewis, Jennifer E.";;;Argumentation and Participation Patterns in General Chemistry Peer-Led Sessions;JOURNAL OF RESEARCH IN SCIENCE TEACHING;;;;;;;;;;;;This article focuses on the use of Toulmin's argumentation scheme to investigate the characteristics of student group argumentation in Peer-Led Guided Inquiry sessions for a General Chemistry I course. A coding scheme based on Toulmin's [Toulmin [1958] The uses of argument. Cambridge: Cambridge University Press] argumentation model was used for identifying arguments during group work without instructor intervention. A modification of the framework developed by Erduran et al. [Erduran, Simon, & Osborne [2004] Science Education, 88(6), 915-933] for characterizing arguments was employed that considered both the strength of the argument and whether an argument contained contributions from one or more than one student. Data were collected by video recording weekly peer-led sessions with a focus on two small groups. Analysis of this video data with the coding scheme and the framework revealed that students were mostly engaged in co-constructed arguments, with more than one student providing evidence and reasoning during group activities. Students often supported their claims with data and warrants but rarely offered backings. That is, they supported their answers with evidence and reasoning but did not often elaborate on their reasoning or further validate their explanations. However, the percentage of arguments containing backings increased when arguments contained contributions from more than one student rather than being presented by one individual. Another significant finding is that students were able to resolve wrong claims through argumentation without peer leader intervention, an indication of independent learning. (c) 2013 Wiley Periodicals, Inc.;;;;;"Lewis, Jennifer E/F-8730-2011; Kulatunga, Ushiri/HZI-2345-2023; Lewis, Jennifer/Q-2029-2019";"Lewis, Jennifer E/0000-0001-9910-3007; Kulatunga, Ushiri/0000-0001-7404-598X; Lewis, Jennifer/0000-0001-9910-3007";;;;;;;;;;;;;0022-4308;1098-2736;;;;DEC;2013;50;10;;;;;1207;1231;;10.1002/tea.21107;http://dx.doi.org/10.1002/tea.21107;;;;;;;;;;;;;WOS:000326561600003;View Full Record in Web of Science
J;"Davis, RE; Sevdalis, N; Pinto, A; Darzi, A; Vincent, CA";;;;"Davis, Rachel E.; Sevdalis, Nick; Pinto, Anna; Darzi, Ara; Vincent, Charles A.";;;Patients' attitudes towards patient involvement in safety interventions: results of two exploratory studies;HEALTH EXPECTATIONS;;;;;;;;;;;;"Background In recent years, patient-focused interventions have been introduced aimed at increasing patient involvement in safety-related behaviours. However, patients' attitudes towards these interventions and comfort in participating in the recommended behaviours remain largely unexplored. Objective To evaluate patients' attitudes towards a video and leaflet aimed at encouraging patient involvement in safety-related behaviours. Design Two exploratory studies employing a within-subjects mixed-methods design. Setting Six hospital wards on an inner-city London teaching hospital. Participants Medical and surgical inpatients: 80 patients in study 1 (mean age 55; 69% men) and 80 patients in study 2 (mean age 52; 60% men). Intervention Patients watched the PINK patient safety video (study 1) or read the National Patient Safety Agency's Please Ask' about staying in hospital leaflet (study 2). Main outcome measures Perceived comfort in participating in safety-related behaviours; attitudes towards the video or leaflet. Results Both video and leaflet increased patients' perceived comfort in engaging in some (but not all) safety-related behaviours (P<0.05). In both studies, the majority of patients questioned whether the intervention could help to reduce medical errors in health care. Suggestions on how the video/leaflet could be improved mainly related to content and layout. Conclusion Video and leaflet could be effective at encouraging patient involvement in some safety-related behaviours. Further in-depth research on patients' attitudes towards different educational materials is required to help inform future policies and interventions in this very important but under-researched area.";;;;;"Sevdalis, Nick/O-1419-2017; Vincent, Charles A/D-1134-2010; Sevdalis, Nick/AAJ-6280-2020";"Sevdalis, Nick/0000-0001-7560-8924; Vincent, Charles A/0000-0003-0270-0222; Sevdalis, Nick/0000-0001-7560-8924";;;;;;;;;;;;;1369-6513;1369-7625;;;;DEC;2013;16;4;;;;;E164;E176;;10.1111/j.1369-7625.2011.00725.x;http://dx.doi.org/10.1111/j.1369-7625.2011.00725.x;;;;;;;;22151624;;;;;WOS:000330180400007;View Full Record in Web of Science
